unit,indic_il,sex,age,geotime,date,value
PC,LI_R_MD60,T,Y_GE60,SI,2007-01-01,17
PC,LI_R_MD60,T,Y_GE60,SI,2008-01-01,19
PC,LI_R_MD60,T,Y_GE60,SI,2009-01-01,18
PC,LI_R_MD60,T,Y_GE60,SI,2010-01-01,18
PC,LI_R_MD60,T,Y_GE60,SI,2011-01-01,19
PC,LI_R_MD60,T,Y_GE60,SI,2012-01-01,17
PC,LI_R_MD60,T,Y_GE60,SI,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,SI,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,SI,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,SI,2016-01-01,17
PC,LI_R_MD60,T,Y_GE60,SI,2017-01-01,16
PC,LI_R_MD60,T,Y_GE60,SK,2006-01-01,7
PC,LI_R_MD60,T,Y_GE60,SK,2007-01-01,7
PC,LI_R_MD60,T,Y_GE60,SK,2008-01-01,9
