s_adj,unit,nace_r2,lcstruct,geotime,date,value
SCA,I12,B-E,D1_D4_MD5,TR,2016-07-01,178
SCA,I12,B-E,D1_D4_MD5,TR,2016-10-01,180
SCA,I12,B-E,D1_D4_MD5,TR,2017-01-01,183
SCA,I12,B-E,D1_D4_MD5,TR,2017-04-01,189
SCA,I12,B-E,D1_D4_MD5,TR,2017-07-01,194
SCA,I12,B-E,D1_D4_MD5,TR,2017-10-01,199
SCA,I12,B-E,D1_D4_MD5,TR,2018-01-01,213
SCA,I12,B-E,D1_D4_MD5,TR,2018-04-01,223
SCA,I12,B-E,D1_D4_MD5,UK,2015-07-01,105
SCA,I12,B-E,D1_D4_MD5,UK,2015-10-01,105
SCA,I12,B-E,D1_D4_MD5,UK,2016-01-01,107
SCA,I12,B-E,D1_D4_MD5,UK,2016-04-01,107
SCA,I12,B-E,D1_D4_MD5,UK,2016-07-01,108
SCA,I12,B-E,D1_D4_MD5,UK,2016-10-01,107
SCA,I12,B-E,D1_D4_MD5,UK,2017-01-01,108
SCA,I12,B-E,D1_D4_MD5,UK,2017-04-01,110
SCA,I12,B-E,D1_D4_MD5,UK,2017-07-01,111
SCA,I12,B-E,D1_D4_MD5,UK,2017-10-01,113
SCA,I12,B-E,D1_D4_MD5,UK,2018-01-01,116
SCA,I12,B-E,D1_D4_MD5,UK,2018-04-01,114
SCA,I12,B-N,D1_D4_MD5,AT,2015-07-01,107
SCA,I12,B-N,D1_D4_MD5,AT,2015-10-01,111
SCA,I12,B-N,D1_D4_MD5,AT,2016-01-01,110
SCA,I12,B-N,D1_D4_MD5,AT,2016-04-01,108
SCA,I12,B-N,D1_D4_MD5,AT,2016-07-01,109
SCA,I12,B-N,D1_D4_MD5,AT,2016-10-01,111
SCA,I12,B-N,D1_D4_MD5,AT,2017-01-01,110
SCA,I12,B-N,D1_D4_MD5,AT,2017-04-01,112
SCA,I12,B-N,D1_D4_MD5,AT,2017-07-01,113
SCA,I12,B-N,D1_D4_MD5,AT,2017-10-01,113
