unit,deg_urb,geotime,date,value
PC,DEG2,EA18,2008-01-01,12.8 e
PC,DEG2,EA18,2009-01-01,13.1 e
PC,DEG2,EA18,2010-01-01,15.0 
PC,DEG2,EA18,2011-01-01,15.2 
PC,DEG2,EA18,2012-01-01,16.4 
PC,DEG2,EA18,2013-01-01,16.5 
PC,DEG2,EA18,2014-01-01,16.4 
PC,DEG2,EA18,2015-01-01,16.2 
PC,DEG2,EA18,2016-01-01,15.7 
PC,DEG2,EA18,2017-01-01,15.0 e
PC,DEG2,EA19,2006-01-01,14.2 e
PC,DEG2,EA19,2007-01-01,13.3 e
PC,DEG2,EA19,2008-01-01,12.8 e
PC,DEG2,EA19,2009-01-01,13.1 e
PC,DEG2,EA19,2010-01-01,15.0 
PC,DEG2,EA19,2011-01-01,15.2 
PC,DEG2,EA19,2012-01-01,16.4 
PC,DEG2,EA19,2013-01-01,16.5 
PC,DEG2,EA19,2014-01-01,16.3 
PC,DEG2,EA19,2015-01-01,16.2 
PC,DEG2,EA19,2016-01-01,15.7 
PC,DEG2,EA19,2017-01-01,15.0 e
PC,DEG2,EE,2006-01-01,13.6 
PC,DEG2,EE,2007-01-01,12.9 
PC,DEG2,EE,2008-01-01,14.1 
PC,DEG2,EE,2009-01-01,15.1 
PC,DEG2,EE,2010-01-01,16.0 
PC,DEG2,EE,2011-01-01,15.5 
PC,DEG2,EE,2012-01-01,15.2 b
PC,DEG2,EE,2013-01-01,14.9 
PC,DEG2,EE,2014-01-01,14.5 b
PC,DEG2,EE,2015-01-01,12.7 
PC,DEG2,EE,2016-01-01,12.6 
PC,DEG2,EE,2017-01-01,11.6 
PC,DEG2,EL,2006-01-01,22.6 
PC,DEG2,EL,2007-01-01,21.2 
PC,DEG2,EL,2008-01-01,23.1 
PC,DEG2,EL,2009-01-01,22.1 
PC,DEG2,EL,2010-01-01,23.7 
PC,DEG2,EL,2011-01-01,28.1 
PC,DEG2,EL,2012-01-01,30.9 b
PC,DEG2,EL,2013-01-01,32.5 
PC,DEG2,EL,2014-01-01,36.9 
PC,DEG2,EL,2015-01-01,38.7 
PC,DEG2,EL,2016-01-01,34.6 
PC,DEG2,EL,2017-01-01,35.3 
PC,DEG2,ES,2006-01-01,10.9 
PC,DEG2,ES,2007-01-01,11.1 
PC,DEG2,ES,2008-01-01,10.5 
PC,DEG2,ES,2009-01-01,12.1 
PC,DEG2,ES,2010-01-01,12.6 
PC,DEG2,ES,2011-01-01,12.4 
PC,DEG2,ES,2012-01-01,13.4 b
PC,DEG2,ES,2013-01-01,13.5 
PC,DEG2,ES,2014-01-01,13.2 
PC,DEG2,ES,2015-01-01,12.4 
PC,DEG2,ES,2016-01-01,12.1 
PC,DEG2,ES,2017-01-01,11.3 
PC,DEG2,EU27,2006-01-01,15.6 e
PC,DEG2,EU27,2007-01-01,15.2 e
PC,DEG2,EU27,2008-01-01,14.7 e
PC,DEG2,EU27,2009-01-01,14.7 e
PC,DEG2,EU27,2010-01-01,16.0 
