unit,material,indic_env,geotime,date,value
T_HAB,TOTAL,DMC,HR,1991-01-01,
T_HAB,TOTAL,DMC,HR,1992-01-01,
T_HAB,TOTAL,DMC,HR,1993-01-01,
T_HAB,TOTAL,DMC,HR,1994-01-01,
T_HAB,TOTAL,DMC,HR,1995-01-01,
T_HAB,TOTAL,DMC,HR,1996-01-01,
T_HAB,TOTAL,DMC,HR,1997-01-01,
T_HAB,TOTAL,DMC,HR,1998-01-01,
T_HAB,TOTAL,DMC,HR,1999-01-01,
T_HAB,TOTAL,DMC,HR,2000-01-01,7
T_HAB,TOTAL,DMC,HR,2001-01-01,9
T_HAB,TOTAL,DMC,HR,2002-01-01,11
T_HAB,TOTAL,DMC,HR,2003-01-01,11
T_HAB,TOTAL,DMC,HR,2004-01-01,13
T_HAB,TOTAL,DMC,HR,2005-01-01,12
T_HAB,TOTAL,DMC,HR,2006-01-01,13
T_HAB,TOTAL,DMC,HR,2007-01-01,13
T_HAB,TOTAL,DMC,HR,2008-01-01,15
T_HAB,TOTAL,DMC,HR,2009-01-01,12
T_HAB,TOTAL,DMC,HR,2010-01-01,10
T_HAB,TOTAL,DMC,HR,2011-01-01,10
T_HAB,TOTAL,DMC,HR,2012-01-01,9
T_HAB,TOTAL,DMC,HR,2013-01-01,9
T_HAB,TOTAL,DMC,HR,2014-01-01,9
T_HAB,TOTAL,DMC,HR,2015-01-01,9
T_HAB,TOTAL,DMC,HR,2016-01-01,10
T_HAB,TOTAL,DMC,HR,2017-01-01,9
T_HAB,TOTAL,DMC,HU,1990-01-01,
T_HAB,TOTAL,DMC,HU,1991-01-01,
T_HAB,TOTAL,DMC,HU,1992-01-01,
T_HAB,TOTAL,DMC,HU,1993-01-01,
T_HAB,TOTAL,DMC,HU,1994-01-01,
T_HAB,TOTAL,DMC,HU,1995-01-01,
T_HAB,TOTAL,DMC,HU,1996-01-01,
T_HAB,TOTAL,DMC,HU,1997-01-01,
T_HAB,TOTAL,DMC,HU,1998-01-01,
T_HAB,TOTAL,DMC,HU,1999-01-01,
T_HAB,TOTAL,DMC,HU,2000-01-01,11
T_HAB,TOTAL,DMC,HU,2001-01-01,13
T_HAB,TOTAL,DMC,HU,2002-01-01,13
T_HAB,TOTAL,DMC,HU,2003-01-01,13
T_HAB,TOTAL,DMC,HU,2004-01-01,15
T_HAB,TOTAL,DMC,HU,2005-01-01,17
T_HAB,TOTAL,DMC,HU,2006-01-01,15
T_HAB,TOTAL,DMC,HU,2007-01-01,11
T_HAB,TOTAL,DMC,HU,2008-01-01,13
T_HAB,TOTAL,DMC,HU,2009-01-01,10
T_HAB,TOTAL,DMC,HU,2010-01-01,9
T_HAB,TOTAL,DMC,HU,2011-01-01,9
T_HAB,TOTAL,DMC,HU,2012-01-01,8
T_HAB,TOTAL,DMC,HU,2013-01-01,9
T_HAB,TOTAL,DMC,HU,2014-01-01,12
T_HAB,TOTAL,DMC,HU,2015-01-01,12
T_HAB,TOTAL,DMC,HU,2016-01-01,12
T_HAB,TOTAL,DMC,HU,2017-01-01,13
T_HAB,TOTAL,DMC,IE,1990-01-01,
T_HAB,TOTAL,DMC,IE,1991-01-01,
T_HAB,TOTAL,DMC,IE,1992-01-01,
T_HAB,TOTAL,DMC,IE,1993-01-01,
T_HAB,TOTAL,DMC,IE,1994-01-01,24
T_HAB,TOTAL,DMC,IE,1995-01-01,24
T_HAB,TOTAL,DMC,IE,1996-01-01,26
T_HAB,TOTAL,DMC,IE,1997-01-01,26
T_HAB,TOTAL,DMC,IE,1998-01-01,29
T_HAB,TOTAL,DMC,IE,1999-01-01,31
T_HAB,TOTAL,DMC,IE,2000-01-01,33
T_HAB,TOTAL,DMC,IE,2001-01-01,33
T_HAB,TOTAL,DMC,IE,2002-01-01,33
T_HAB,TOTAL,DMC,IE,2003-01-01,37
T_HAB,TOTAL,DMC,IE,2004-01-01,39
T_HAB,TOTAL,DMC,IE,2005-01-01,39
T_HAB,TOTAL,DMC,IE,2006-01-01,41
T_HAB,TOTAL,DMC,IE,2007-01-01,41
T_HAB,TOTAL,DMC,IE,2008-01-01,35
T_HAB,TOTAL,DMC,IE,2009-01-01,27
T_HAB,TOTAL,DMC,IE,2010-01-01,23
T_HAB,TOTAL,DMC,IE,2011-01-01,21
T_HAB,TOTAL,DMC,IE,2012-01-01,19
T_HAB,TOTAL,DMC,IE,2013-01-01,21
