nutrient,indic_ag,geo,unittime,date,value
N,BAL_UAA,LU,KG,2015-01-01,129.0
N,BAL_UAA,LU,KG,2016-01-01,
N,BAL_UAA,LV,KG,2000-01-01,11.0
N,BAL_UAA,LV,KG,2001-01-01,22.0
N,BAL_UAA,LV,KG,2002-01-01,14.0
N,BAL_UAA,LV,KG,2003-01-01,20.0
N,BAL_UAA,LV,KG,2004-01-01,16.0
N,BAL_UAA,LV,KG,2005-01-01,16.0
N,BAL_UAA,LV,KG,2006-01-01,21.0
N,BAL_UAA,LV,KG,2007-01-01,20.0
N,BAL_UAA,LV,KG,2008-01-01,17.0
N,BAL_UAA,LV,KG,2009-01-01,22.0
N,BAL_UAA,LV,KG,2010-01-01,29.0
N,BAL_UAA,LV,KG,2011-01-01,28.0
N,BAL_UAA,LV,KG,2012-01-01,24.0
N,BAL_UAA,LV,KG,2013-01-01,28.0
N,BAL_UAA,LV,KG,2014-01-01,28.0
N,BAL_UAA,LV,KG,2015-01-01,28.0
N,BAL_UAA,LV,KG,2016-01-01,
N,BAL_UAA,MT,KG,2000-01-01,257.0
N,BAL_UAA,MT,KG,2001-01-01,270.0
N,BAL_UAA,MT,KG,2002-01-01,245.0
N,BAL_UAA,MT,KG,2003-01-01,203.0
N,BAL_UAA,MT,KG,2004-01-01,261.0
N,BAL_UAA,MT,KG,2005-01-01,233.0
N,BAL_UAA,MT,KG,2006-01-01,232.0
N,BAL_UAA,MT,KG,2007-01-01,244.0
N,BAL_UAA,MT,KG,2008-01-01,215.0
N,BAL_UAA,MT,KG,2009-01-01,200.0
N,BAL_UAA,MT,KG,2010-01-01,169.0
N,BAL_UAA,MT,KG,2011-01-01,132.0
N,BAL_UAA,MT,KG,2012-01-01,141.0
N,BAL_UAA,MT,KG,2013-01-01,147.0
N,BAL_UAA,MT,KG,2014-01-01,147.0
N,BAL_UAA,MT,KG,2015-01-01,147.0
N,BAL_UAA,MT,KG,2016-01-01,
N,BAL_UAA,NL,KG,2000-01-01,258.0
N,BAL_UAA,NL,KG,2001-01-01,233.0
N,BAL_UAA,NL,KG,2002-01-01,200.0
N,BAL_UAA,NL,KG,2003-01-01,233.0
N,BAL_UAA,NL,KG,2004-01-01,213.0
N,BAL_UAA,NL,KG,2005-01-01,206.0
N,BAL_UAA,NL,KG,2006-01-01,213.0
N,BAL_UAA,NL,KG,2007-01-01,198.0
N,BAL_UAA,NL,KG,2008-01-01,175.0
N,BAL_UAA,NL,KG,2009-01-01,172.0
N,BAL_UAA,NL,KG,2010-01-01,173.0
N,BAL_UAA,NL,KG,2011-01-01,172.0
N,BAL_UAA,NL,KG,2012-01-01,169.0
N,BAL_UAA,NL,KG,2013-01-01,169.0
N,BAL_UAA,NL,KG,2014-01-01,160.0
N,BAL_UAA,NL,KG,2015-01-01,189.0
N,BAL_UAA,NL,KG,2016-01-01,199.0
N,BAL_UAA,NO,KG,2000-01-01,98.0
N,BAL_UAA,NO,KG,2001-01-01,93.0
N,BAL_UAA,NO,KG,2002-01-01,98.0
N,BAL_UAA,NO,KG,2003-01-01,104.0
N,BAL_UAA,NO,KG,2004-01-01,101.0
N,BAL_UAA,NO,KG,2005-01-01,109.0
N,BAL_UAA,NO,KG,2006-01-01,110.0
N,BAL_UAA,NO,KG,2007-01-01,113.0
N,BAL_UAA,NO,KG,2008-01-01,104.0
