unit,age,sex,indic_il,geo\time,date,value
PC,Y_GE65,T,LI_R_MD40,MT,2008-01-01,6.5 
PC,Y_GE65,T,LI_R_MD40,MT,2009-01-01,3.9 
PC,Y_GE65,T,LI_R_MD40,MT,2010-01-01,5.3 
PC,Y_GE65,T,LI_R_MD40,MT,2011-01-01,4.2 
PC,Y_GE65,T,LI_R_MD40,MT,2012-01-01,4.2 
PC,Y_GE65,T,LI_R_MD40,MT,2013-01-01,2.6
PC,Y_GE65,T,LI_R_MD40,MT,2014-01-01,1.6
PC,Y_GE65,T,LI_R_MD40,MT,2015-01-01,2.0
PC,Y_GE65,T,LI_R_MD40,MT,2016-01-01,2.1 
PC,Y_GE65,T,LI_R_MD40,MT,2017-01-01,2.5 
PC,Y_GE65,T,LI_R_MD40,NL,2006-01-01,0.8 
PC,Y_GE65,T,LI_R_MD40,NL,2007-01-01,1.3 
PC,Y_GE65,T,LI_R_MD40,NL,2008-01-01,1.4 
PC,Y_GE65,T,LI_R_MD40,NL,2009-01-01,1.5 
PC,Y_GE65,T,LI_R_MD40,NL,2010-01-01,1.5 
PC,Y_GE65,T,LI_R_MD40,NL,2011-01-01,1.8 
PC,Y_GE65,T,LI_R_MD40,NL,2012-01-01,1.4 
PC,Y_GE65,T,LI_R_MD40,NL,2013-01-01,1.1
PC,Y_GE65,T,LI_R_MD40,NL,2014-01-01,1.9
PC,Y_GE65,T,LI_R_MD40,NL,2015-01-01,1.0
PC,Y_GE65,T,LI_R_MD40,NL,2016-01-01,1.6 b
PC,Y_GE65,T,LI_R_MD40,NL,2017-01-01,1.3 
PC,Y_GE65,T,LI_R_MD40,NO,2006-01-01,1.7 
PC,Y_GE65,T,LI_R_MD40,NO,2007-01-01,0.6 
PC,Y_GE65,T,LI_R_MD40,NO,2008-01-01,1.1 
PC,Y_GE65,T,LI_R_MD40,NO,2009-01-01,0.5 
PC,Y_GE65,T,LI_R_MD40,NO,2010-01-01,0.5 
PC,Y_GE65,T,LI_R_MD40,NO,2011-01-01,0.9 
PC,Y_GE65,T,LI_R_MD40,NO,2012-01-01,0.4 
PC,Y_GE65,T,LI_R_MD40,NO,2013-01-01,0.7
PC,Y_GE65,T,LI_R_MD40,NO,2014-01-01,0.5
PC,Y_GE65,T,LI_R_MD40,NO,2015-01-01,0.4
PC,Y_GE65,T,LI_R_MD40,NO,2016-01-01,0.8 
PC,Y_GE65,T,LI_R_MD40,NO,2017-01-01,0.9 
PC,Y_GE65,T,LI_R_MD40,PL,2006-01-01,1.3 
PC,Y_GE65,T,LI_R_MD40,PL,2007-01-01,1.2 
PC,Y_GE65,T,LI_R_MD40,PL,2008-01-01,1.5 
PC,Y_GE65,T,LI_R_MD40,PL,2009-01-01,2.3 
PC,Y_GE65,T,LI_R_MD40,PL,2010-01-01,2.2 
PC,Y_GE65,T,LI_R_MD40,PL,2011-01-01,2.3 
PC,Y_GE65,T,LI_R_MD40,PL,2012-01-01,2.2 
PC,Y_GE65,T,LI_R_MD40,PL,2013-01-01,1.7
PC,Y_GE65,T,LI_R_MD40,PL,2014-01-01,1.7
PC,Y_GE65,T,LI_R_MD40,PL,2015-01-01,2.4
PC,Y_GE65,T,LI_R_MD40,PL,2016-01-01,2.4 
PC,Y_GE65,T,LI_R_MD40,PL,2017-01-01,2.5 
PC,Y_GE65,T,LI_R_MD40,PT,2006-01-01,6.2 
PC,Y_GE65,T,LI_R_MD40,PT,2007-01-01,6.3 
PC,Y_GE65,T,LI_R_MD40,PT,2008-01-01,4.6 
PC,Y_GE65,T,LI_R_MD40,PT,2009-01-01,4.6 
PC,Y_GE65,T,LI_R_MD40,PT,2010-01-01,4.3 
PC,Y_GE65,T,LI_R_MD40,PT,2011-01-01,2.8 
PC,Y_GE65,T,LI_R_MD40,PT,2012-01-01,2.7 
PC,Y_GE65,T,LI_R_MD40,PT,2013-01-01,2.4
PC,Y_GE65,T,LI_R_MD40,PT,2014-01-01,3.3
PC,Y_GE65,T,LI_R_MD40,PT,2015-01-01,3.9
PC,Y_GE65,T,LI_R_MD40,PT,2016-01-01,4.2 
PC,Y_GE65,T,LI_R_MD40,PT,2017-01-01,3.7 
PC,Y_GE65,T,LI_R_MD40,RO,2006-01-01,: 
PC,Y_GE65,T,LI_R_MD40,RO,2007-01-01,12.4 
PC,Y_GE65,T,LI_R_MD40,RO,2008-01-01,9.2 
PC,Y_GE65,T,LI_R_MD40,RO,2009-01-01,6.5 
PC,Y_GE65,T,LI_R_MD40,RO,2010-01-01,3.3 
PC,Y_GE65,T,LI_R_MD40,RO,2011-01-01,3.2 
PC,Y_GE65,T,LI_R_MD40,RO,2012-01-01,2.9 
PC,Y_GE65,T,LI_R_MD40,RO,2013-01-01,3.1
PC,Y_GE65,T,LI_R_MD40,RO,2014-01-01,4.0
PC,Y_GE65,T,LI_R_MD40,RO,2015-01-01,5.8
PC,Y_GE65,T,LI_R_MD40,RO,2016-01-01,4.6 
