unit,age,sex,indic_il,geotime,date,value
PC,TOTAL,T,LI_R_MD40,MT,2016-01-01,3
PC,TOTAL,T,LI_R_MD40,MT,2017-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2006-01-01,3
PC,TOTAL,T,LI_R_MD40,NL,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2010-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2011-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2012-01-01,2
PC,TOTAL,T,LI_R_MD40,NL,2013-01-01,
PC,TOTAL,T,LI_R_MD40,NL,2014-01-01,
PC,TOTAL,T,LI_R_MD40,NL,2015-01-01,
PC,TOTAL,T,LI_R_MD40,NL,2016-01-01,3
PC,TOTAL,T,LI_R_MD40,NL,2017-01-01,3
PC,TOTAL,T,LI_R_MD40,NO,2006-01-01,4
PC,TOTAL,T,LI_R_MD40,NO,2007-01-01,4
PC,TOTAL,T,LI_R_MD40,NO,2008-01-01,4
PC,TOTAL,T,LI_R_MD40,NO,2009-01-01,3
PC,TOTAL,T,LI_R_MD40,NO,2010-01-01,3
PC,TOTAL,T,LI_R_MD40,NO,2011-01-01,3
PC,TOTAL,T,LI_R_MD40,NO,2012-01-01,3
PC,TOTAL,T,LI_R_MD40,NO,2013-01-01,
PC,TOTAL,T,LI_R_MD40,NO,2014-01-01,
PC,TOTAL,T,LI_R_MD40,NO,2015-01-01,
PC,TOTAL,T,LI_R_MD40,NO,2016-01-01,4
PC,TOTAL,T,LI_R_MD40,NO,2017-01-01,4
PC,TOTAL,T,LI_R_MD40,PL,2006-01-01,7
PC,TOTAL,T,LI_R_MD40,PL,2007-01-01,6
PC,TOTAL,T,LI_R_MD40,PL,2008-01-01,5
PC,TOTAL,T,LI_R_MD40,PL,2009-01-01,5
PC,TOTAL,T,LI_R_MD40,PL,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,PL,2011-01-01,5
PC,TOTAL,T,LI_R_MD40,PL,2012-01-01,5
PC,TOTAL,T,LI_R_MD40,PL,2013-01-01,
PC,TOTAL,T,LI_R_MD40,PL,2014-01-01,
PC,TOTAL,T,LI_R_MD40,PL,2015-01-01,
PC,TOTAL,T,LI_R_MD40,PL,2016-01-01,6
PC,TOTAL,T,LI_R_MD40,PL,2017-01-01,5
PC,TOTAL,T,LI_R_MD40,PT,2006-01-01,6
PC,TOTAL,T,LI_R_MD40,PT,2007-01-01,6
PC,TOTAL,T,LI_R_MD40,PT,2008-01-01,5
PC,TOTAL,T,LI_R_MD40,PT,2009-01-01,6
PC,TOTAL,T,LI_R_MD40,PT,2010-01-01,6
PC,TOTAL,T,LI_R_MD40,PT,2011-01-01,5
PC,TOTAL,T,LI_R_MD40,PT,2012-01-01,6
PC,TOTAL,T,LI_R_MD40,PT,2013-01-01,
PC,TOTAL,T,LI_R_MD40,PT,2014-01-01,
PC,TOTAL,T,LI_R_MD40,PT,2015-01-01,
PC,TOTAL,T,LI_R_MD40,PT,2016-01-01,7
PC,TOTAL,T,LI_R_MD40,PT,2017-01-01,7
PC,TOTAL,T,LI_R_MD40,RO,2006-01-01,
PC,TOTAL,T,LI_R_MD40,RO,2007-01-01,13
PC,TOTAL,T,LI_R_MD40,RO,2008-01-01,11
PC,TOTAL,T,LI_R_MD40,RO,2009-01-01,10
PC,TOTAL,T,LI_R_MD40,RO,2010-01-01,10
PC,TOTAL,T,LI_R_MD40,RO,2011-01-01,10
PC,TOTAL,T,LI_R_MD40,RO,2012-01-01,10
PC,TOTAL,T,LI_R_MD40,RO,2013-01-01,
PC,TOTAL,T,LI_R_MD40,RO,2014-01-01,
PC,TOTAL,T,LI_R_MD40,RO,2015-01-01,
PC,TOTAL,T,LI_R_MD40,RO,2016-01-01,13
PC,TOTAL,T,LI_R_MD40,RO,2017-01-01,12
PC,TOTAL,T,LI_R_MD40,RS,2006-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2007-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2008-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2009-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2010-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2011-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2012-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2013-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2014-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2015-01-01,
PC,TOTAL,T,LI_R_MD40,RS,2016-01-01,14
PC,TOTAL,T,LI_R_MD40,RS,2017-01-01,
PC,TOTAL,T,LI_R_MD40,SE,2006-01-01,4
PC,TOTAL,T,LI_R_MD40,SE,2007-01-01,3
PC,TOTAL,T,LI_R_MD40,SE,2008-01-01,3
PC,TOTAL,T,LI_R_MD40,SE,2009-01-01,4
PC,TOTAL,T,LI_R_MD40,SE,2010-01-01,4
PC,TOTAL,T,LI_R_MD40,SE,2011-01-01,4
PC,TOTAL,T,LI_R_MD40,SE,2012-01-01,4
