worktime,geotime,date,value
PT,BE,2009-01-01,6.5
PT,BE,2010-01-01,5.8
PT,BE,2011-01-01,6.4
PT,BE,2012-01-01,6.4
PT,BE,2013-01-01,5.9
PT,BE,2014-01-01,6.2
PT,BE,2015-01-01,6.4
PT,BE,2016-01-01,6.4
PT,BE,2017-01-01,6.5
PT,BG,2006-01-01,14.8
PT,BG,2007-01-01,15.9
PT,BG,2008-01-01,20.3
PT,BG,2009-01-01,24.2
PT,BG,2010-01-01,30.3
PT,BG,2011-01-01,33.0
PT,BG,2012-01-01,27.9
PT,BG,2013-01-01,20.9
PT,BG,2014-01-01,27.8
PT,BG,2015-01-01,30.3
PT,BG,2016-01-01,42.2
PT,BG,2017-01-01,35.6
PT,CH,2006-01-01,
PT,CH,2007-01-01,9.6
PT,CH,2008-01-01,11.8
PT,CH,2009-01-01,12.2
PT,CH,2010-01-01,10.5
PT,CH,2011-01-01,10.9
PT,CH,2012-01-01,11.3
PT,CH,2013-01-01,9.8
PT,CH,2014-01-01,8.8
PT,CH,2015-01-01,12.0
PT,CH,2016-01-01,11.6
PT,CH,2017-01-01,
PT,CY,2006-01-01,15.7
PT,CY,2007-01-01,10.4
PT,CY,2008-01-01,9.3
PT,CY,2009-01-01,13.0
PT,CY,2010-01-01,9.2
PT,CY,2011-01-01,12.6
PT,CY,2012-01-01,15.4
PT,CY,2013-01-01,16.6
PT,CY,2014-01-01,16.2
PT,CY,2015-01-01,17.0
PT,CY,2016-01-01,12.3
PT,CY,2017-01-01,15.4
PT,CZ,2006-01-01,6.3
PT,CZ,2007-01-01,4.7
PT,CZ,2008-01-01,5.5
PT,CZ,2009-01-01,5.6
PT,CZ,2010-01-01,6.7
PT,CZ,2011-01-01,8.9
PT,CZ,2012-01-01,10.0
PT,CZ,2013-01-01,10.5
PT,CZ,2014-01-01,6.4
PT,CZ,2015-01-01,6.3
PT,CZ,2016-01-01,7.9
PT,CZ,2017-01-01,8.0
PT,DE,2006-01-01,8.5
PT,DE,2007-01-01,10.1
PT,DE,2008-01-01,10.8
PT,DE,2009-01-01,10.0
PT,DE,2010-01-01,11.2
PT,DE,2011-01-01,10.5
PT,DE,2012-01-01,11.3
PT,DE,2013-01-01,13.4
PT,DE,2014-01-01,14.9
PT,DE,2015-01-01,14.5
PT,DE,2016-01-01,15.2
PT,DE,2017-01-01,14.0
PT,DK,2006-01-01,6.3
PT,DK,2007-01-01,5.1
PT,DK,2008-01-01,7.0
PT,DK,2009-01-01,9.1
PT,DK,2010-01-01,10.0
PT,DK,2011-01-01,8.6
PT,DK,2012-01-01,6.0
PT,DK,2013-01-01,7.9
PT,DK,2014-01-01,8.5
PT,DK,2015-01-01,7.6
PT,DK,2016-01-01,14.1
PT,DK,2017-01-01,13.2
PT,EA18,2006-01-01,9.7
PT,EA18,2007-01-01,10.9
