hhtyp,incgrp,unit,geotime,date,value
TOTAL,TOTAL,PC,MK,2003-01-01,
TOTAL,TOTAL,PC,MK,2004-01-01,
TOTAL,TOTAL,PC,MK,2005-01-01,
TOTAL,TOTAL,PC,MK,2006-01-01,
TOTAL,TOTAL,PC,MK,2007-01-01,
TOTAL,TOTAL,PC,MK,2008-01-01,
TOTAL,TOTAL,PC,MK,2009-01-01,
TOTAL,TOTAL,PC,MK,2010-01-01,7
TOTAL,TOTAL,PC,MK,2011-01-01,6
TOTAL,TOTAL,PC,MK,2012-01-01,4
TOTAL,TOTAL,PC,MK,2013-01-01,
TOTAL,TOTAL,PC,MK,2014-01-01,5
TOTAL,TOTAL,PC,MK,2015-01-01,
TOTAL,TOTAL,PC,MK,2016-01-01,4
TOTAL,TOTAL,PC,MK,2017-01-01,
TOTAL,TOTAL,PC,MT,2003-01-01,
TOTAL,TOTAL,PC,MT,2004-01-01,
TOTAL,TOTAL,PC,MT,2005-01-01,13
TOTAL,TOTAL,PC,MT,2006-01-01,12
TOTAL,TOTAL,PC,MT,2007-01-01,10
TOTAL,TOTAL,PC,MT,2008-01-01,9
TOTAL,TOTAL,PC,MT,2009-01-01,10
TOTAL,TOTAL,PC,MT,2010-01-01,10
TOTAL,TOTAL,PC,MT,2011-01-01,12
TOTAL,TOTAL,PC,MT,2012-01-01,12
TOTAL,TOTAL,PC,MT,2013-01-01,
TOTAL,TOTAL,PC,MT,2014-01-01,12
TOTAL,TOTAL,PC,MT,2015-01-01,
TOTAL,TOTAL,PC,MT,2016-01-01,10
TOTAL,TOTAL,PC,MT,2017-01-01,10
TOTAL,TOTAL,PC,NL,2003-01-01,
TOTAL,TOTAL,PC,NL,2004-01-01,
TOTAL,TOTAL,PC,NL,2005-01-01,19
TOTAL,TOTAL,PC,NL,2006-01-01,16
TOTAL,TOTAL,PC,NL,2007-01-01,17
TOTAL,TOTAL,PC,NL,2008-01-01,14
TOTAL,TOTAL,PC,NL,2009-01-01,21
TOTAL,TOTAL,PC,NL,2010-01-01,16
TOTAL,TOTAL,PC,NL,2011-01-01,18
TOTAL,TOTAL,PC,NL,2012-01-01,18
TOTAL,TOTAL,PC,NL,2013-01-01,
TOTAL,TOTAL,PC,NL,2014-01-01,18
TOTAL,TOTAL,PC,NL,2015-01-01,
TOTAL,TOTAL,PC,NL,2016-01-01,16
TOTAL,TOTAL,PC,NL,2017-01-01,15
TOTAL,TOTAL,PC,NO,2003-01-01,5
TOTAL,TOTAL,PC,NO,2004-01-01,5
TOTAL,TOTAL,PC,NO,2005-01-01,4
TOTAL,TOTAL,PC,NO,2006-01-01,3
TOTAL,TOTAL,PC,NO,2007-01-01,4
TOTAL,TOTAL,PC,NO,2008-01-01,5
TOTAL,TOTAL,PC,NO,2009-01-01,5
TOTAL,TOTAL,PC,NO,2010-01-01,5
TOTAL,TOTAL,PC,NO,2011-01-01,4
TOTAL,TOTAL,PC,NO,2012-01-01,6
TOTAL,TOTAL,PC,NO,2013-01-01,
TOTAL,TOTAL,PC,NO,2014-01-01,4
TOTAL,TOTAL,PC,NO,2015-01-01,
TOTAL,TOTAL,PC,NO,2016-01-01,4
TOTAL,TOTAL,PC,NO,2017-01-01,3
TOTAL,TOTAL,PC,PL,2003-01-01,
TOTAL,TOTAL,PC,PL,2004-01-01,
TOTAL,TOTAL,PC,PL,2005-01-01,10
TOTAL,TOTAL,PC,PL,2006-01-01,9
TOTAL,TOTAL,PC,PL,2007-01-01,8
TOTAL,TOTAL,PC,PL,2008-01-01,7
TOTAL,TOTAL,PC,PL,2009-01-01,6
TOTAL,TOTAL,PC,PL,2010-01-01,6
TOTAL,TOTAL,PC,PL,2011-01-01,6
TOTAL,TOTAL,PC,PL,2012-01-01,6
TOTAL,TOTAL,PC,PL,2013-01-01,
TOTAL,TOTAL,PC,PL,2014-01-01,6
TOTAL,TOTAL,PC,PL,2015-01-01,
TOTAL,TOTAL,PC,PL,2016-01-01,5
TOTAL,TOTAL,PC,PL,2017-01-01,5
TOTAL,TOTAL,PC,PT,2003-01-01,
TOTAL,TOTAL,PC,PT,2004-01-01,13
TOTAL,TOTAL,PC,PT,2005-01-01,13
TOTAL,TOTAL,PC,PT,2006-01-01,11
TOTAL,TOTAL,PC,PT,2007-01-01,12
TOTAL,TOTAL,PC,PT,2008-01-01,11
TOTAL,TOTAL,PC,PT,2009-01-01,14
TOTAL,TOTAL,PC,PT,2010-01-01,11
TOTAL,TOTAL,PC,PT,2011-01-01,10
TOTAL,TOTAL,PC,PT,2012-01-01,10
TOTAL,TOTAL,PC,PT,2013-01-01,
TOTAL,TOTAL,PC,PT,2014-01-01,11
TOTAL,TOTAL,PC,PT,2015-01-01,
TOTAL,TOTAL,PC,PT,2016-01-01,7
TOTAL,TOTAL,PC,PT,2017-01-01,7
TOTAL,TOTAL,PC,RO,2003-01-01,
TOTAL,TOTAL,PC,RO,2004-01-01,
TOTAL,TOTAL,PC,RO,2005-01-01,
TOTAL,TOTAL,PC,RO,2006-01-01,
TOTAL,TOTAL,PC,RO,2007-01-01,15
TOTAL,TOTAL,PC,RO,2008-01-01,13
TOTAL,TOTAL,PC,RO,2009-01-01,16
TOTAL,TOTAL,PC,RO,2010-01-01,15
TOTAL,TOTAL,PC,RO,2011-01-01,16
TOTAL,TOTAL,PC,RO,2012-01-01,13
TOTAL,TOTAL,PC,RO,2013-01-01,
TOTAL,TOTAL,PC,RO,2014-01-01,14
TOTAL,TOTAL,PC,RO,2015-01-01,
TOTAL,TOTAL,PC,RO,2016-01-01,14
TOTAL,TOTAL,PC,RO,2017-01-01,11
TOTAL,TOTAL,PC,RS,2003-01-01,
TOTAL,TOTAL,PC,RS,2004-01-01,
TOTAL,TOTAL,PC,RS,2005-01-01,
TOTAL,TOTAL,PC,RS,2006-01-01,
TOTAL,TOTAL,PC,RS,2007-01-01,
TOTAL,TOTAL,PC,RS,2008-01-01,
TOTAL,TOTAL,PC,RS,2009-01-01,
TOTAL,TOTAL,PC,RS,2010-01-01,
TOTAL,TOTAL,PC,RS,2011-01-01,
TOTAL,TOTAL,PC,RS,2012-01-01,
TOTAL,TOTAL,PC,RS,2013-01-01,
TOTAL,TOTAL,PC,RS,2014-01-01,21
TOTAL,TOTAL,PC,RS,2015-01-01,
TOTAL,TOTAL,PC,RS,2016-01-01,18
TOTAL,TOTAL,PC,RS,2017-01-01,
TOTAL,TOTAL,PC,SE,2003-01-01,
TOTAL,TOTAL,PC,SE,2004-01-01,10
TOTAL,TOTAL,PC,SE,2005-01-01,9
TOTAL,TOTAL,PC,SE,2006-01-01,13
TOTAL,TOTAL,PC,SE,2007-01-01,13
TOTAL,TOTAL,PC,SE,2008-01-01,13
TOTAL,TOTAL,PC,SE,2009-01-01,13
TOTAL,TOTAL,PC,SE,2010-01-01,10
TOTAL,TOTAL,PC,SE,2011-01-01,11
TOTAL,TOTAL,PC,SE,2012-01-01,10
TOTAL,TOTAL,PC,SE,2013-01-01,
TOTAL,TOTAL,PC,SE,2014-01-01,10
TOTAL,TOTAL,PC,SE,2015-01-01,
TOTAL,TOTAL,PC,SE,2016-01-01,12
TOTAL,TOTAL,PC,SE,2017-01-01,13
TOTAL,TOTAL,PC,SI,2003-01-01,
TOTAL,TOTAL,PC,SI,2004-01-01,
TOTAL,TOTAL,PC,SI,2005-01-01,10
TOTAL,TOTAL,PC,SI,2006-01-01,9
TOTAL,TOTAL,PC,SI,2007-01-01,10
TOTAL,TOTAL,PC,SI,2008-01-01,8
TOTAL,TOTAL,PC,SI,2009-01-01,12
TOTAL,TOTAL,PC,SI,2010-01-01,9
TOTAL,TOTAL,PC,SI,2011-01-01,8
TOTAL,TOTAL,PC,SI,2012-01-01,8
TOTAL,TOTAL,PC,SI,2013-01-01,
TOTAL,TOTAL,PC,SI,2014-01-01,10
TOTAL,TOTAL,PC,SI,2015-01-01,
TOTAL,TOTAL,PC,SI,2016-01-01,8
TOTAL,TOTAL,PC,SI,2017-01-01,8
TOTAL,TOTAL,PC,SK,2003-01-01,
TOTAL,TOTAL,PC,SK,2004-01-01,
TOTAL,TOTAL,PC,SK,2005-01-01,9
TOTAL,TOTAL,PC,SK,2006-01-01,8
TOTAL,TOTAL,PC,SK,2007-01-01,8
TOTAL,TOTAL,PC,SK,2008-01-01,9
TOTAL,TOTAL,PC,SK,2009-01-01,12
TOTAL,TOTAL,PC,SK,2010-01-01,10
TOTAL,TOTAL,PC,SK,2011-01-01,10
TOTAL,TOTAL,PC,SK,2012-01-01,9
TOTAL,TOTAL,PC,SK,2013-01-01,
TOTAL,TOTAL,PC,SK,2014-01-01,8
TOTAL,TOTAL,PC,SK,2015-01-01,
TOTAL,TOTAL,PC,SK,2016-01-01,6
TOTAL,TOTAL,PC,SK,2017-01-01,6
TOTAL,TOTAL,PC,TR,2003-01-01,
TOTAL,TOTAL,PC,TR,2004-01-01,
TOTAL,TOTAL,PC,TR,2005-01-01,
TOTAL,TOTAL,PC,TR,2006-01-01,21
TOTAL,TOTAL,PC,TR,2007-01-01,17
TOTAL,TOTAL,PC,TR,2008-01-01,11
TOTAL,TOTAL,PC,TR,2009-01-01,12
TOTAL,TOTAL,PC,TR,2010-01-01,
TOTAL,TOTAL,PC,TR,2011-01-01,10
TOTAL,TOTAL,PC,TR,2012-01-01,8
TOTAL,TOTAL,PC,TR,2013-01-01,
TOTAL,TOTAL,PC,TR,2014-01-01,10
TOTAL,TOTAL,PC,TR,2015-01-01,
TOTAL,TOTAL,PC,TR,2016-01-01,
TOTAL,TOTAL,PC,TR,2017-01-01,
TOTAL,TOTAL,PC,UK,2003-01-01,
TOTAL,TOTAL,PC,UK,2004-01-01,
TOTAL,TOTAL,PC,UK,2005-01-01,30
TOTAL,TOTAL,PC,UK,2006-01-01,27
TOTAL,TOTAL,PC,UK,2007-01-01,26
TOTAL,TOTAL,PC,UK,2008-01-01,24
TOTAL,TOTAL,PC,UK,2009-01-01,25
TOTAL,TOTAL,PC,UK,2010-01-01,23
TOTAL,TOTAL,PC,UK,2011-01-01,20
TOTAL,TOTAL,PC,UK,2012-01-01,19
TOTAL,TOTAL,PC,UK,2013-01-01,
TOTAL,TOTAL,PC,UK,2014-01-01,16
TOTAL,TOTAL,PC,UK,2015-01-01,
TOTAL,TOTAL,PC,UK,2016-01-01,16
TOTAL,TOTAL,PC,UK,2017-01-01,
