unit,bop_item,stk_flow,partner,geotime,date,value
PC_WRL,G,CRE,WRL_REST,FI,2012-01-01,0.42
PC_WRL,G,CRE,WRL_REST,FI,2013-01-01,0.42
PC_WRL,G,CRE,WRL_REST,FI,2014-01-01,0.41
PC_WRL,G,CRE,WRL_REST,FI,2015-01-01,0.36
PC_WRL,G,CRE,WRL_REST,FI,2016-01-01,0.37
PC_WRL,G,CRE,WRL_REST,FI,2017-01-01,0.39
PC_WRL,G,CRE,WRL_REST,FR,1995-01-01,
PC_WRL,G,CRE,WRL_REST,FR,1996-01-01,
PC_WRL,G,CRE,WRL_REST,FR,1997-01-01,
PC_WRL,G,CRE,WRL_REST,FR,1998-01-01,
PC_WRL,G,CRE,WRL_REST,FR,1999-01-01,5.25
PC_WRL,G,CRE,WRL_REST,FR,2000-01-01,4.62
PC_WRL,G,CRE,WRL_REST,FR,2001-01-01,4.77
PC_WRL,G,CRE,WRL_REST,FR,2002-01-01,4.78
PC_WRL,G,CRE,WRL_REST,FR,2003-01-01,4.81
PC_WRL,G,CRE,WRL_REST,FR,2004-01-01,4.6
PC_WRL,G,CRE,WRL_REST,FR,2005-01-01,4.24
PC_WRL,G,CRE,WRL_REST,FR,2006-01-01,4.04
PC_WRL,G,CRE,WRL_REST,FR,2007-01-01,3.98
PC_WRL,G,CRE,WRL_REST,FR,2008-01-01,3.84
PC_WRL,G,CRE,WRL_REST,FR,2009-01-01,3.85
PC_WRL,G,CRE,WRL_REST,FR,2010-01-01,3.41
PC_WRL,G,CRE,WRL_REST,FR,2011-01-01,3.28
PC_WRL,G,CRE,WRL_REST,FR,2012-01-01,3.09
PC_WRL,G,CRE,WRL_REST,FR,2013-01-01,3.14
PC_WRL,G,CRE,WRL_REST,FR,2014-01-01,3.12
PC_WRL,G,CRE,WRL_REST,FR,2015-01-01,3.22
PC_WRL,G,CRE,WRL_REST,FR,2016-01-01,3.31
PC_WRL,G,CRE,WRL_REST,FR,2017-01-01,3.19
PC_WRL,G,CRE,WRL_REST,HR,1995-01-01,
PC_WRL,G,CRE,WRL_REST,HR,1996-01-01,
PC_WRL,G,CRE,WRL_REST,HR,1997-01-01,
PC_WRL,G,CRE,WRL_REST,HR,1998-01-01,
PC_WRL,G,CRE,WRL_REST,HR,1999-01-01,
PC_WRL,G,CRE,WRL_REST,HR,2000-01-01,0.05
PC_WRL,G,CRE,WRL_REST,HR,2001-01-01,0.05
PC_WRL,G,CRE,WRL_REST,HR,2002-01-01,0.06
PC_WRL,G,CRE,WRL_REST,HR,2003-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2004-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2005-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2006-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2007-01-01,0.08
PC_WRL,G,CRE,WRL_REST,HR,2008-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2009-01-01,0.08
PC_WRL,G,CRE,WRL_REST,HR,2010-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2011-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2012-01-01,0.06
PC_WRL,G,CRE,WRL_REST,HR,2013-01-01,0.06
PC_WRL,G,CRE,WRL_REST,HR,2014-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2015-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2016-01-01,0.07
PC_WRL,G,CRE,WRL_REST,HR,2017-01-01,0.08
PC_WRL,G,CRE,WRL_REST,HU,1995-01-01,0.22
PC_WRL,G,CRE,WRL_REST,HU,1996-01-01,0.22
PC_WRL,G,CRE,WRL_REST,HU,1997-01-01,0.27
PC_WRL,G,CRE,WRL_REST,HU,1998-01-01,0.34
PC_WRL,G,CRE,WRL_REST,HU,1999-01-01,0.36
PC_WRL,G,CRE,WRL_REST,HU,2000-01-01,0.37
PC_WRL,G,CRE,WRL_REST,HU,2001-01-01,0.42
PC_WRL,G,CRE,WRL_REST,HU,2002-01-01,0.47
PC_WRL,G,CRE,WRL_REST,HU,2003-01-01,0.5
PC_WRL,G,CRE,WRL_REST,HU,2004-01-01,0.56
PC_WRL,G,CRE,WRL_REST,HU,2005-01-01,0.57
PC_WRL,G,CRE,WRL_REST,HU,2006-01-01,0.58
PC_WRL,G,CRE,WRL_REST,HU,2007-01-01,0.65
PC_WRL,G,CRE,WRL_REST,HU,2008-01-01,0.67
PC_WRL,G,CRE,WRL_REST,HU,2009-01-01,0.65
PC_WRL,G,CRE,WRL_REST,HU,2010-01-01,0.59
PC_WRL,G,CRE,WRL_REST,HU,2011-01-01,0.56
PC_WRL,G,CRE,WRL_REST,HU,2012-01-01,0.5
PC_WRL,G,CRE,WRL_REST,HU,2013-01-01,0.5
PC_WRL,G,CRE,WRL_REST,HU,2014-01-01,0.53
PC_WRL,G,CRE,WRL_REST,HU,2015-01-01,0.54
PC_WRL,G,CRE,WRL_REST,HU,2016-01-01,0.56
PC_WRL,G,CRE,WRL_REST,HU,2017-01-01,0.56
PC_WRL,G,CRE,WRL_REST,IE,1995-01-01,
PC_WRL,G,CRE,WRL_REST,IE,1996-01-01,
PC_WRL,G,CRE,WRL_REST,IE,1997-01-01,
PC_WRL,G,CRE,WRL_REST,IE,1998-01-01,
PC_WRL,G,CRE,WRL_REST,IE,1999-01-01,
PC_WRL,G,CRE,WRL_REST,IE,2000-01-01,
PC_WRL,G,CRE,WRL_REST,IE,2001-01-01,
PC_WRL,G,CRE,WRL_REST,IE,2002-01-01,1.34
