sex,wstatus,age,unit,geotime,date,value
T,POP,Y18-24,PC,IE,2011-01-01,11
T,POP,Y18-24,PC,IE,2012-01-01,
T,POP,Y18-24,PC,IE,2013-01-01,8
T,POP,Y18-24,PC,IE,2014-01-01,6
T,POP,Y18-24,PC,IE,2015-01-01,7
T,POP,Y18-24,PC,IE,2016-01-01,6
T,POP,Y18-24,PC,IE,2017-01-01,5
T,POP,Y18-24,PC,IS,2005-01-01,24
T,POP,Y18-24,PC,IS,2006-01-01,25
T,POP,Y18-24,PC,IS,2007-01-01,23
T,POP,Y18-24,PC,IS,2008-01-01,24
T,POP,Y18-24,PC,IS,2009-01-01,21
T,POP,Y18-24,PC,IS,2010-01-01,22
T,POP,Y18-24,PC,IS,2011-01-01,19
T,POP,Y18-24,PC,IS,2012-01-01,
T,POP,Y18-24,PC,IS,2013-01-01,20
T,POP,Y18-24,PC,IS,2014-01-01,19
T,POP,Y18-24,PC,IS,2015-01-01,18
T,POP,Y18-24,PC,IS,2016-01-01,19
T,POP,Y18-24,PC,IS,2017-01-01,17
T,POP,Y18-24,PC,IT,2005-01-01,22
T,POP,Y18-24,PC,IT,2006-01-01,20
T,POP,Y18-24,PC,IT,2007-01-01,19
T,POP,Y18-24,PC,IT,2008-01-01,19
T,POP,Y18-24,PC,IT,2009-01-01,19
T,POP,Y18-24,PC,IT,2010-01-01,18
T,POP,Y18-24,PC,IT,2011-01-01,17
T,POP,Y18-24,PC,IT,2012-01-01,
T,POP,Y18-24,PC,IT,2013-01-01,16
T,POP,Y18-24,PC,IT,2014-01-01,15
T,POP,Y18-24,PC,IT,2015-01-01,14
T,POP,Y18-24,PC,IT,2016-01-01,13
T,POP,Y18-24,PC,IT,2017-01-01,14
T,POP,Y18-24,PC,LT,2005-01-01,8
T,POP,Y18-24,PC,LT,2006-01-01,8
T,POP,Y18-24,PC,LT,2007-01-01,7
T,POP,Y18-24,PC,LT,2008-01-01,7
T,POP,Y18-24,PC,LT,2009-01-01,8
T,POP,Y18-24,PC,LT,2010-01-01,7
T,POP,Y18-24,PC,LT,2011-01-01,7
T,POP,Y18-24,PC,LT,2012-01-01,
T,POP,Y18-24,PC,LT,2013-01-01,6
T,POP,Y18-24,PC,LT,2014-01-01,5
T,POP,Y18-24,PC,LT,2015-01-01,5
T,POP,Y18-24,PC,LT,2016-01-01,4
T,POP,Y18-24,PC,LT,2017-01-01,5
T,POP,Y18-24,PC,LU,2005-01-01,13
T,POP,Y18-24,PC,LU,2006-01-01,14
T,POP,Y18-24,PC,LU,2007-01-01,12
T,POP,Y18-24,PC,LU,2008-01-01,13
T,POP,Y18-24,PC,LU,2009-01-01,7
T,POP,Y18-24,PC,LU,2010-01-01,7
T,POP,Y18-24,PC,LU,2011-01-01,6
T,POP,Y18-24,PC,LU,2012-01-01,
T,POP,Y18-24,PC,LU,2013-01-01,6
T,POP,Y18-24,PC,LU,2014-01-01,6
T,POP,Y18-24,PC,LU,2015-01-01,9
T,POP,Y18-24,PC,LU,2016-01-01,5
T,POP,Y18-24,PC,LU,2017-01-01,7
T,POP,Y18-24,PC,LV,2005-01-01,15
T,POP,Y18-24,PC,LV,2006-01-01,15
T,POP,Y18-24,PC,LV,2007-01-01,15
T,POP,Y18-24,PC,LV,2008-01-01,15
T,POP,Y18-24,PC,LV,2009-01-01,14
T,POP,Y18-24,PC,LV,2010-01-01,12
T,POP,Y18-24,PC,LV,2011-01-01,11
T,POP,Y18-24,PC,LV,2012-01-01,
T,POP,Y18-24,PC,LV,2013-01-01,9
T,POP,Y18-24,PC,LV,2014-01-01,8
T,POP,Y18-24,PC,LV,2015-01-01,9
T,POP,Y18-24,PC,LV,2016-01-01,10
T,POP,Y18-24,PC,LV,2017-01-01,8
T,POP,Y18-24,PC,ME,2005-01-01,
T,POP,Y18-24,PC,ME,2006-01-01,
T,POP,Y18-24,PC,ME,2007-01-01,
T,POP,Y18-24,PC,ME,2008-01-01,
T,POP,Y18-24,PC,ME,2009-01-01,
T,POP,Y18-24,PC,ME,2010-01-01,
T,POP,Y18-24,PC,ME,2011-01-01,7
T,POP,Y18-24,PC,ME,2012-01-01,
T,POP,Y18-24,PC,ME,2013-01-01,5
T,POP,Y18-24,PC,ME,2014-01-01,5
T,POP,Y18-24,PC,ME,2015-01-01,5
T,POP,Y18-24,PC,ME,2016-01-01,5
T,POP,Y18-24,PC,ME,2017-01-01,5
T,POP,Y18-24,PC,MK,2005-01-01,
T,POP,Y18-24,PC,MK,2006-01-01,22
T,POP,Y18-24,PC,MK,2007-01-01,19
T,POP,Y18-24,PC,MK,2008-01-01,19
T,POP,Y18-24,PC,MK,2009-01-01,16
T,POP,Y18-24,PC,MK,2010-01-01,15
T,POP,Y18-24,PC,MK,2011-01-01,13
T,POP,Y18-24,PC,MK,2012-01-01,
T,POP,Y18-24,PC,MK,2013-01-01,11
T,POP,Y18-24,PC,MK,2014-01-01,12
T,POP,Y18-24,PC,MK,2015-01-01,11
T,POP,Y18-24,PC,MK,2016-01-01,9
T,POP,Y18-24,PC,MK,2017-01-01,8
T,POP,Y18-24,PC,MT,2005-01-01,33
T,POP,Y18-24,PC,MT,2006-01-01,32
T,POP,Y18-24,PC,MT,2007-01-01,30
T,POP,Y18-24,PC,MT,2008-01-01,27
T,POP,Y18-24,PC,MT,2009-01-01,25
T,POP,Y18-24,PC,MT,2010-01-01,23
T,POP,Y18-24,PC,MT,2011-01-01,22
T,POP,Y18-24,PC,MT,2012-01-01,
T,POP,Y18-24,PC,MT,2013-01-01,20
T,POP,Y18-24,PC,MT,2014-01-01,20
T,POP,Y18-24,PC,MT,2015-01-01,20
T,POP,Y18-24,PC,MT,2016-01-01,19
T,POP,Y18-24,PC,MT,2017-01-01,17
T,POP,Y18-24,PC,NL,2005-01-01,13
T,POP,Y18-24,PC,NL,2006-01-01,12
T,POP,Y18-24,PC,NL,2007-01-01,11
T,POP,Y18-24,PC,NL,2008-01-01,11
