indic_il,age,sex,tenure,geo\time,date,value
LI_R_MD60,Y_GE65,T,TOTAL,DK,2016-01-01,8.5 
LI_R_MD60,Y_GE65,T,TOTAL,DK,2017-01-01,8.8 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2006-01-01,18.7 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2007-01-01,19.0 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2008-01-01,18.0 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2009-01-01,17.3 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2010-01-01,15.2 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2011-01-01,15.1 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2012-01-01,14.1 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2013-01-01,13.3 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2014-01-01,13.2 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2015-01-01,13.4 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2016-01-01,14.0 
LI_R_MD60,Y_GE65,T,TOTAL,EA18,2017-01-01,14.1 e
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2006-01-01,18.8 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2007-01-01,19.1 e
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2008-01-01,18.2 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2009-01-01,17.4 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2010-01-01,15.2 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2011-01-01,15.1 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2012-01-01,14.2 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2013-01-01,13.3 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2014-01-01,13.3 
LI_R_MD60,Y_GE65,T,TOTAL,EA19,2015-01-01,13.5 
