hhtyp,indic_il,currency,geotime,date,value
A1,LI_C_MD60,PPS,PL,2009-01-01,4417
A1,LI_C_MD60,PPS,PL,2010-01-01,4547
A1,LI_C_MD60,PPS,PL,2011-01-01,4993
A1,LI_C_MD60,PPS,PL,2012-01-01,5181
A1,LI_C_MD60,PPS,PL,2013-01-01,
A1,LI_C_MD60,PPS,PL,2014-01-01,5736
A1,LI_C_MD60,PPS,PL,2015-01-01,
A1,LI_C_MD60,PPS,PL,2016-01-01,6512
A1,LI_C_MD60,PPS,PL,2017-01-01,6650
A1,LI_C_MD60,PPS,PT,2006-01-01,5157
A1,LI_C_MD60,PPS,PT,2007-01-01,5349
A1,LI_C_MD60,PPS,PT,2008-01-01,5702
A1,LI_C_MD60,PPS,PT,2009-01-01,5655
A1,LI_C_MD60,PPS,PT,2010-01-01,5837
A1,LI_C_MD60,PPS,PT,2011-01-01,5773
A1,LI_C_MD60,PPS,PT,2012-01-01,5877
A1,LI_C_MD60,PPS,PT,2013-01-01,
A1,LI_C_MD60,PPS,PT,2014-01-01,6075
A1,LI_C_MD60,PPS,PT,2015-01-01,
A1,LI_C_MD60,PPS,PT,2016-01-01,6479
A1,LI_C_MD60,PPS,PT,2017-01-01,6478
A1,LI_C_MD60,PPS,RO,2006-01-01,
A1,LI_C_MD60,PPS,RO,2007-01-01,1670
A1,LI_C_MD60,PPS,RO,2008-01-01,1837
A1,LI_C_MD60,PPS,RO,2009-01-01,2066
A1,LI_C_MD60,PPS,RO,2010-01-01,2122
A1,LI_C_MD60,PPS,RO,2011-01-01,2186
A1,LI_C_MD60,PPS,RO,2012-01-01,2226
A1,LI_C_MD60,PPS,RO,2013-01-01,
A1,LI_C_MD60,PPS,RO,2014-01-01,2408
A1,LI_C_MD60,PPS,RO,2015-01-01,
A1,LI_C_MD60,PPS,RO,2016-01-01,2837
A1,LI_C_MD60,PPS,RO,2017-01-01,3143
A1,LI_C_MD60,PPS,RS,2006-01-01,
A1,LI_C_MD60,PPS,RS,2007-01-01,
A1,LI_C_MD60,PPS,RS,2008-01-01,
A1,LI_C_MD60,PPS,RS,2009-01-01,
A1,LI_C_MD60,PPS,RS,2010-01-01,
A1,LI_C_MD60,PPS,RS,2011-01-01,
A1,LI_C_MD60,PPS,RS,2012-01-01,
A1,LI_C_MD60,PPS,RS,2013-01-01,
A1,LI_C_MD60,PPS,RS,2014-01-01,2716
A1,LI_C_MD60,PPS,RS,2015-01-01,
A1,LI_C_MD60,PPS,RS,2016-01-01,3149
A1,LI_C_MD60,PPS,RS,2017-01-01,
A1,LI_C_MD60,PPS,SE,2006-01-01,9068
A1,LI_C_MD60,PPS,SE,2007-01-01,9545
A1,LI_C_MD60,PPS,SE,2008-01-01,10495
A1,LI_C_MD60,PPS,SE,2009-01-01,10885
A1,LI_C_MD60,PPS,SE,2010-01-01,10535
A1,LI_C_MD60,PPS,SE,2011-01-01,10819
A1,LI_C_MD60,PPS,SE,2012-01-01,11366
A1,LI_C_MD60,PPS,SE,2013-01-01,
A1,LI_C_MD60,PPS,SE,2014-01-01,11718
A1,LI_C_MD60,PPS,SE,2015-01-01,
A1,LI_C_MD60,PPS,SE,2016-01-01,12451
A1,LI_C_MD60,PPS,SE,2017-01-01,12100
A1,LI_C_MD60,PPS,SI,2006-01-01,7292
A1,LI_C_MD60,PPS,SI,2007-01-01,7753
