sectperf,unit,geotime,date,value
TOTAL,PC_GDP,LU,2008-01-01,1.62
TOTAL,PC_GDP,LU,2009-01-01,1.68
TOTAL,PC_GDP,LU,2010-01-01,1.5
TOTAL,PC_GDP,LU,2011-01-01,1.46
TOTAL,PC_GDP,LU,2012-01-01,1.27
TOTAL,PC_GDP,LU,2013-01-01,1.3
TOTAL,PC_GDP,LU,2014-01-01,1.26
TOTAL,PC_GDP,LU,2015-01-01,1.27
TOTAL,PC_GDP,LU,2016-01-01,1.24
TOTAL,PC_GDP,LV,1995-01-01,0.43
TOTAL,PC_GDP,LV,1996-01-01,0.4
TOTAL,PC_GDP,LV,1997-01-01,0.37
TOTAL,PC_GDP,LV,1998-01-01,0.38
TOTAL,PC_GDP,LV,1999-01-01,0.35
TOTAL,PC_GDP,LV,2000-01-01,0.44
TOTAL,PC_GDP,LV,2001-01-01,0.4
TOTAL,PC_GDP,LV,2002-01-01,0.41
TOTAL,PC_GDP,LV,2003-01-01,0.36
TOTAL,PC_GDP,LV,2004-01-01,0.4
TOTAL,PC_GDP,LV,2005-01-01,0.53
TOTAL,PC_GDP,LV,2006-01-01,0.65
TOTAL,PC_GDP,LV,2007-01-01,0.55
TOTAL,PC_GDP,LV,2008-01-01,0.58
TOTAL,PC_GDP,LV,2009-01-01,0.45
TOTAL,PC_GDP,LV,2010-01-01,0.61
TOTAL,PC_GDP,LV,2011-01-01,0.7
TOTAL,PC_GDP,LV,2012-01-01,0.66
TOTAL,PC_GDP,LV,2013-01-01,0.61
TOTAL,PC_GDP,LV,2014-01-01,0.69
TOTAL,PC_GDP,LV,2015-01-01,0.63
TOTAL,PC_GDP,LV,2016-01-01,0.44
TOTAL,PC_GDP,MT,1995-01-01,
TOTAL,PC_GDP,MT,1996-01-01,
TOTAL,PC_GDP,MT,1997-01-01,
TOTAL,PC_GDP,MT,1998-01-01,
TOTAL,PC_GDP,MT,1999-01-01,
TOTAL,PC_GDP,MT,2000-01-01,
TOTAL,PC_GDP,MT,2001-01-01,
TOTAL,PC_GDP,MT,2002-01-01,0.25
TOTAL,PC_GDP,MT,2003-01-01,0.24
TOTAL,PC_GDP,MT,2004-01-01,0.49
TOTAL,PC_GDP,MT,2005-01-01,0.53
TOTAL,PC_GDP,MT,2006-01-01,0.58
TOTAL,PC_GDP,MT,2007-01-01,0.55
TOTAL,PC_GDP,MT,2008-01-01,0.53
TOTAL,PC_GDP,MT,2009-01-01,0.52
TOTAL,PC_GDP,MT,2010-01-01,0.61
TOTAL,PC_GDP,MT,2011-01-01,0.67
TOTAL,PC_GDP,MT,2012-01-01,0.83
TOTAL,PC_GDP,MT,2013-01-01,0.77
TOTAL,PC_GDP,MT,2014-01-01,0.72
TOTAL,PC_GDP,MT,2015-01-01,0.77
TOTAL,PC_GDP,MT,2016-01-01,0.61
TOTAL,PC_GDP,NL,1995-01-01,1.85
TOTAL,PC_GDP,NL,1996-01-01,1.86
TOTAL,PC_GDP,NL,1997-01-01,1.87
TOTAL,PC_GDP,NL,1998-01-01,1.76
TOTAL,PC_GDP,NL,1999-01-01,1.84
TOTAL,PC_GDP,NL,2000-01-01,1.81
TOTAL,PC_GDP,NL,2001-01-01,1.82
TOTAL,PC_GDP,NL,2002-01-01,1.77
TOTAL,PC_GDP,NL,2003-01-01,1.81
TOTAL,PC_GDP,NL,2004-01-01,1.81
TOTAL,PC_GDP,NL,2005-01-01,1.79
TOTAL,PC_GDP,NL,2006-01-01,1.76
TOTAL,PC_GDP,NL,2007-01-01,1.69
TOTAL,PC_GDP,NL,2008-01-01,1.64
TOTAL,PC_GDP,NL,2009-01-01,1.69
TOTAL,PC_GDP,NL,2010-01-01,1.72
TOTAL,PC_GDP,NL,2011-01-01,1.9
TOTAL,PC_GDP,NL,2012-01-01,1.94
TOTAL,PC_GDP,NL,2013-01-01,1.95
TOTAL,PC_GDP,NL,2014-01-01,2.0
TOTAL,PC_GDP,NL,2015-01-01,2.0
TOTAL,PC_GDP,NL,2016-01-01,2.03
TOTAL,PC_GDP,PL,1995-01-01,0.62
TOTAL,PC_GDP,PL,1996-01-01,0.64
TOTAL,PC_GDP,PL,1997-01-01,0.64
TOTAL,PC_GDP,PL,1998-01-01,0.66
TOTAL,PC_GDP,PL,1999-01-01,0.68
TOTAL,PC_GDP,PL,2000-01-01,0.64
TOTAL,PC_GDP,PL,2001-01-01,0.62
TOTAL,PC_GDP,PL,2002-01-01,0.56
TOTAL,PC_GDP,PL,2003-01-01,0.54
TOTAL,PC_GDP,PL,2004-01-01,0.55
TOTAL,PC_GDP,PL,2005-01-01,0.56
TOTAL,PC_GDP,PL,2006-01-01,0.55
TOTAL,PC_GDP,PL,2007-01-01,0.56
TOTAL,PC_GDP,PL,2008-01-01,0.6
TOTAL,PC_GDP,PL,2009-01-01,0.66
TOTAL,PC_GDP,PL,2010-01-01,0.72
TOTAL,PC_GDP,PL,2011-01-01,0.75
TOTAL,PC_GDP,PL,2012-01-01,0.88
TOTAL,PC_GDP,PL,2013-01-01,0.87
TOTAL,PC_GDP,PL,2014-01-01,0.94
TOTAL,PC_GDP,PL,2015-01-01,1.0
TOTAL,PC_GDP,PL,2016-01-01,0.97
TOTAL,PC_GDP,PT,1995-01-01,0.52
TOTAL,PC_GDP,PT,1996-01-01,0.55
TOTAL,PC_GDP,PT,1997-01-01,0.56
TOTAL,PC_GDP,PT,1998-01-01,0.62
TOTAL,PC_GDP,PT,1999-01-01,0.68
TOTAL,PC_GDP,PT,2000-01-01,0.72
TOTAL,PC_GDP,PT,2001-01-01,0.76
TOTAL,PC_GDP,PT,2002-01-01,0.72
TOTAL,PC_GDP,PT,2003-01-01,0.7
TOTAL,PC_GDP,PT,2004-01-01,0.73
TOTAL,PC_GDP,PT,2005-01-01,0.76
TOTAL,PC_GDP,PT,2006-01-01,0.95
TOTAL,PC_GDP,PT,2007-01-01,1.12
TOTAL,PC_GDP,PT,2008-01-01,1.45
TOTAL,PC_GDP,PT,2009-01-01,1.58
TOTAL,PC_GDP,PT,2010-01-01,1.53
TOTAL,PC_GDP,PT,2011-01-01,1.46
TOTAL,PC_GDP,PT,2012-01-01,1.38
TOTAL,PC_GDP,PT,2013-01-01,1.33
TOTAL,PC_GDP,PT,2014-01-01,1.29
TOTAL,PC_GDP,PT,2015-01-01,1.24
TOTAL,PC_GDP,PT,2016-01-01,1.27
TOTAL,PC_GDP,RO,1995-01-01,0.75
TOTAL,PC_GDP,RO,1996-01-01,0.67
TOTAL,PC_GDP,RO,1997-01-01,0.57
TOTAL,PC_GDP,RO,1998-01-01,0.49
TOTAL,PC_GDP,RO,1999-01-01,0.4
TOTAL,PC_GDP,RO,2000-01-01,0.36
TOTAL,PC_GDP,RO,2001-01-01,0.39
TOTAL,PC_GDP,RO,2002-01-01,0.38
TOTAL,PC_GDP,RO,2003-01-01,0.38
TOTAL,PC_GDP,RO,2004-01-01,0.38
TOTAL,PC_GDP,RO,2005-01-01,0.41
TOTAL,PC_GDP,RO,2006-01-01,0.45
TOTAL,PC_GDP,RO,2007-01-01,0.51
TOTAL,PC_GDP,RO,2008-01-01,0.55
TOTAL,PC_GDP,RO,2009-01-01,0.45
TOTAL,PC_GDP,RO,2010-01-01,0.46
TOTAL,PC_GDP,RO,2011-01-01,0.5
TOTAL,PC_GDP,RO,2012-01-01,0.48
TOTAL,PC_GDP,RO,2013-01-01,0.39
TOTAL,PC_GDP,RO,2014-01-01,0.38
TOTAL,PC_GDP,RO,2015-01-01,0.49
TOTAL,PC_GDP,RO,2016-01-01,0.48
TOTAL,PC_GDP,SE,1995-01-01,3.13
TOTAL,PC_GDP,SE,1996-01-01,
TOTAL,PC_GDP,SE,1997-01-01,3.32
TOTAL,PC_GDP,SE,1998-01-01,
TOTAL,PC_GDP,SE,1999-01-01,3.42
TOTAL,PC_GDP,SE,2000-01-01,
TOTAL,PC_GDP,SE,2001-01-01,3.91
TOTAL,PC_GDP,SE,2002-01-01,
TOTAL,PC_GDP,SE,2003-01-01,3.61
TOTAL,PC_GDP,SE,2004-01-01,3.39
TOTAL,PC_GDP,SE,2005-01-01,3.39
TOTAL,PC_GDP,SE,2006-01-01,3.5
TOTAL,PC_GDP,SE,2007-01-01,3.26
TOTAL,PC_GDP,SE,2008-01-01,3.5
TOTAL,PC_GDP,SE,2009-01-01,3.45
TOTAL,PC_GDP,SE,2010-01-01,3.22
TOTAL,PC_GDP,SE,2011-01-01,3.25
TOTAL,PC_GDP,SE,2012-01-01,3.28
TOTAL,PC_GDP,SE,2013-01-01,3.31
TOTAL,PC_GDP,SE,2014-01-01,3.15
TOTAL,PC_GDP,SE,2015-01-01,3.27
TOTAL,PC_GDP,SE,2016-01-01,3.25
TOTAL,PC_GDP,SI,1995-01-01,1.49
TOTAL,PC_GDP,SI,1996-01-01,1.27
TOTAL,PC_GDP,SI,1997-01-01,1.25
TOTAL,PC_GDP,SI,1998-01-01,1.31
TOTAL,PC_GDP,SI,1999-01-01,1.34
TOTAL,PC_GDP,SI,2000-01-01,1.36
TOTAL,PC_GDP,SI,2001-01-01,1.47
TOTAL,PC_GDP,SI,2002-01-01,1.44
TOTAL,PC_GDP,SI,2003-01-01,1.25
TOTAL,PC_GDP,SI,2004-01-01,1.37
TOTAL,PC_GDP,SI,2005-01-01,1.41
TOTAL,PC_GDP,SI,2006-01-01,1.53
TOTAL,PC_GDP,SI,2007-01-01,1.42
TOTAL,PC_GDP,SI,2008-01-01,1.63
TOTAL,PC_GDP,SI,2009-01-01,1.82
TOTAL,PC_GDP,SI,2010-01-01,2.06
TOTAL,PC_GDP,SI,2011-01-01,2.42
TOTAL,PC_GDP,SI,2012-01-01,2.57
TOTAL,PC_GDP,SI,2013-01-01,2.58
TOTAL,PC_GDP,SI,2014-01-01,2.37
TOTAL,PC_GDP,SI,2015-01-01,2.2
TOTAL,PC_GDP,SI,2016-01-01,2.0
TOTAL,PC_GDP,SK,1995-01-01,0.91
TOTAL,PC_GDP,SK,1996-01-01,0.89
TOTAL,PC_GDP,SK,1997-01-01,1.05
TOTAL,PC_GDP,SK,1998-01-01,0.77
TOTAL,PC_GDP,SK,1999-01-01,0.65
TOTAL,PC_GDP,SK,2000-01-01,0.64
TOTAL,PC_GDP,SK,2001-01-01,0.63
TOTAL,PC_GDP,SK,2002-01-01,0.56
TOTAL,PC_GDP,SK,2003-01-01,0.56
TOTAL,PC_GDP,SK,2004-01-01,0.5
TOTAL,PC_GDP,SK,2005-01-01,0.49
TOTAL,PC_GDP,SK,2006-01-01,0.48
TOTAL,PC_GDP,SK,2007-01-01,0.45
TOTAL,PC_GDP,SK,2008-01-01,0.46
TOTAL,PC_GDP,SK,2009-01-01,0.47
TOTAL,PC_GDP,SK,2010-01-01,0.62
TOTAL,PC_GDP,SK,2011-01-01,0.66
TOTAL,PC_GDP,SK,2012-01-01,0.8
TOTAL,PC_GDP,SK,2013-01-01,0.82
TOTAL,PC_GDP,SK,2014-01-01,0.88
TOTAL,PC_GDP,SK,2015-01-01,1.18
TOTAL,PC_GDP,SK,2016-01-01,0.79
TOTAL,PC_GDP,UK,1995-01-01,1.66
TOTAL,PC_GDP,UK,1996-01-01,1.59
TOTAL,PC_GDP,UK,1997-01-01,1.55
TOTAL,PC_GDP,UK,1998-01-01,1.56
TOTAL,PC_GDP,UK,1999-01-01,1.64
TOTAL,PC_GDP,UK,2000-01-01,1.63
TOTAL,PC_GDP,UK,2001-01-01,1.62
TOTAL,PC_GDP,UK,2002-01-01,1.63
TOTAL,PC_GDP,UK,2003-01-01,1.59
TOTAL,PC_GDP,UK,2004-01-01,1.55
TOTAL,PC_GDP,UK,2005-01-01,1.56
TOTAL,PC_GDP,UK,2006-01-01,1.59
TOTAL,PC_GDP,UK,2007-01-01,1.63
TOTAL,PC_GDP,UK,2008-01-01,1.63
TOTAL,PC_GDP,UK,2009-01-01,1.69
TOTAL,PC_GDP,UK,2010-01-01,1.67
TOTAL,PC_GDP,UK,2011-01-01,1.67
TOTAL,PC_GDP,UK,2012-01-01,1.6
TOTAL,PC_GDP,UK,2013-01-01,1.65
TOTAL,PC_GDP,UK,2014-01-01,1.67
TOTAL,PC_GDP,UK,2015-01-01,1.67
TOTAL,PC_GDP,UK,2016-01-01,1.69
