unit,hhtyp,incgrp,sex,age,geotime,date,value
PC,TOTAL,A_MD60,T,TOTAL,MT,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,MT,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NL,2008-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NL,2011-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NL,2013-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NL,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NL,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NL,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NL,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2003-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,NO,2012-01-01,
