sex,age,unit,geo\time,date,value
T,Y25-74,PC_ACT,EE,2006-01-01,5.2 
T,Y25-74,PC_ACT,EE,2007-01-01,3.9
T,Y25-74,PC_ACT,EE,2008-01-01,4.6 d
T,Y25-74,PC_ACT,EE,2009-01-01,11.9 
T,Y25-74,PC_ACT,EE,2010-01-01,14.9 
T,Y25-74,PC_ACT,EE,2011-01-01,11.2 
T,Y25-74,PC_ACT,EE,2012-01-01,8.9
T,Y25-74,PC_ACT,EE,2013-01-01,7.6
T,Y25-74,PC_ACT,EE,2014-01-01,6.7
T,Y25-74,PC_ACT,EE,2015-01-01,5.6
T,Y25-74,PC_ACT,EE,2016-01-01,6.2
T,Y25-74,PC_ACT,EE,2017-01-01,5.2 
T,Y25-74,PC_ACT,EL,1995-01-01,: 
T,Y25-74,PC_ACT,EL,1996-01-01,: 
T,Y25-74,PC_ACT,EL,1997-01-01,: 
T,Y25-74,PC_ACT,EL,1998-01-01,8.2 
T,Y25-74,PC_ACT,EL,1999-01-01,9.1 
T,Y25-74,PC_ACT,EL,2000-01-01,8.7 
T,Y25-74,PC_ACT,EL,2001-01-01,8.5 
T,Y25-74,PC_ACT,EL,2002-01-01,8.4 
T,Y25-74,PC_ACT,EL,2003-01-01,7.9 d
T,Y25-74,PC_ACT,EL,2004-01-01,8.8 
T,Y25-74,PC_ACT,EL,2005-01-01,8.4 
T,Y25-74,PC_ACT,EL,2006-01-01,7.5 
T,Y25-74,PC_ACT,EL,2007-01-01,7.2
T,Y25-74,PC_ACT,EL,2008-01-01,6.6 
T,Y25-74,PC_ACT,EL,2009-01-01,8.4 
T,Y25-74,PC_ACT,EL,2010-01-01,11.2 
T,Y25-74,PC_ACT,EL,2011-01-01,15.9 
T,Y25-74,PC_ACT,EL,2012-01-01,22.3
T,Y25-74,PC_ACT,EL,2013-01-01,25.4
T,Y25-74,PC_ACT,EL,2014-01-01,24.8
T,Y25-74,PC_ACT,EL,2015-01-01,23.4
T,Y25-74,PC_ACT,EL,2016-01-01,22.2
T,Y25-74,PC_ACT,EL,2017-01-01,20.2 
T,Y25-74,PC_ACT,ES,1995-01-01,17.1 d
T,Y25-74,PC_ACT,ES,1996-01-01,16.4 
T,Y25-74,PC_ACT,ES,1997-01-01,15.3 
T,Y25-74,PC_ACT,ES,1998-01-01,13.7 
T,Y25-74,PC_ACT,ES,1999-01-01,11.4 
T,Y25-74,PC_ACT,ES,2000-01-01,10.1 
