sex,age,unit,geotime,date,value
M,TOTAL,PC,DK,2005-01-01,16
M,TOTAL,PC,DK,2006-01-01,15
M,TOTAL,PC,DK,2007-01-01,15
M,TOTAL,PC,DK,2008-01-01,15
M,TOTAL,PC,DK,2009-01-01,17
M,TOTAL,PC,DK,2010-01-01,17
M,TOTAL,PC,DK,2011-01-01,17
M,TOTAL,PC,DK,2012-01-01,17
M,TOTAL,PC,DK,2013-01-01,18
M,TOTAL,PC,DK,2014-01-01,17
M,TOTAL,PC,DK,2015-01-01,
M,TOTAL,PC,DK,2016-01-01,16
M,TOTAL,PC,DK,2017-01-01,17
M,TOTAL,PC,EA18,2005-01-01,20
M,TOTAL,PC,EA18,2006-01-01,20
M,TOTAL,PC,EA18,2007-01-01,20
M,TOTAL,PC,EA18,2008-01-01,20
M,TOTAL,PC,EA18,2009-01-01,20
M,TOTAL,PC,EA18,2010-01-01,20
M,TOTAL,PC,EA18,2011-01-01,21
