unit,quantile,geotime,date,value
PC,QU2,EU28,2016-01-01,11
PC,QU2,EU28,2017-01-01,9
PC,QU2,FI,2006-01-01,3
PC,QU2,FI,2007-01-01,4
PC,QU2,FI,2008-01-01,3
PC,QU2,FI,2009-01-01,4
PC,QU2,FI,2010-01-01,3
PC,QU2,FI,2011-01-01,4
PC,QU2,FI,2012-01-01,4
PC,QU2,FI,2013-01-01,
PC,QU2,FI,2014-01-01,4
PC,QU2,FI,2015-01-01,
PC,QU2,FI,2016-01-01,4
PC,QU2,FI,2017-01-01,4
PC,QU2,FR,2006-01-01,6
PC,QU2,FR,2007-01-01,6
PC,QU2,FR,2008-01-01,4
PC,QU2,FR,2009-01-01,4
PC,QU2,FR,2010-01-01,5
PC,QU2,FR,2011-01-01,5
PC,QU2,FR,2012-01-01,4
PC,QU2,FR,2013-01-01,
PC,QU2,FR,2014-01-01,5
PC,QU2,FR,2015-01-01,
PC,QU2,FR,2016-01-01,5
PC,QU2,FR,2017-01-01,4
PC,QU2,HR,2006-01-01,
PC,QU2,HR,2007-01-01,
PC,QU2,HR,2008-01-01,
PC,QU2,HR,2009-01-01,
PC,QU2,HR,2010-01-01,14
PC,QU2,HR,2011-01-01,4
PC,QU2,HR,2012-01-01,3
PC,QU2,HR,2013-01-01,
PC,QU2,HR,2014-01-01,4
PC,QU2,HR,2015-01-01,
PC,QU2,HR,2016-01-01,3
PC,QU2,HR,2017-01-01,
PC,QU2,HU,2006-01-01,13
PC,QU2,HU,2007-01-01,13
PC,QU2,HU,2008-01-01,13
PC,QU2,HU,2009-01-01,8
PC,QU2,HU,2010-01-01,15
PC,QU2,HU,2011-01-01,16
PC,QU2,HU,2012-01-01,19
PC,QU2,HU,2013-01-01,
PC,QU2,HU,2014-01-01,14
PC,QU2,HU,2015-01-01,
PC,QU2,HU,2016-01-01,9
PC,QU2,HU,2017-01-01,9
PC,QU2,IE,2006-01-01,3
PC,QU2,IE,2007-01-01,1
PC,QU2,IE,2008-01-01,3
PC,QU2,IE,2009-01-01,2
PC,QU2,IE,2010-01-01,3
PC,QU2,IE,2011-01-01,2
PC,QU2,IE,2012-01-01,2
PC,QU2,IE,2013-01-01,
PC,QU2,IE,2014-01-01,3
PC,QU2,IE,2015-01-01,
PC,QU2,IE,2016-01-01,3
PC,QU2,IE,2017-01-01,
PC,QU2,IS,2006-01-01,12
PC,QU2,IS,2007-01-01,7
PC,QU2,IS,2008-01-01,9
PC,QU2,IS,2009-01-01,7
PC,QU2,IS,2010-01-01,7
PC,QU2,IS,2011-01-01,9
PC,QU2,IS,2012-01-01,8
PC,QU2,IS,2013-01-01,
PC,QU2,IS,2014-01-01,7
PC,QU2,IS,2015-01-01,
PC,QU2,IS,2016-01-01,5
PC,QU2,IS,2017-01-01,
PC,QU2,IT,2006-01-01,13
PC,QU2,IT,2007-01-01,7
PC,QU2,IT,2008-01-01,8
PC,QU2,IT,2009-01-01,7
PC,QU2,IT,2010-01-01,6
PC,QU2,IT,2011-01-01,7
PC,QU2,IT,2012-01-01,7
PC,QU2,IT,2013-01-01,
PC,QU2,IT,2014-01-01,6
PC,QU2,IT,2015-01-01,
PC,QU2,IT,2016-01-01,7
PC,QU2,IT,2017-01-01,5
PC,QU2,LT,2006-01-01,7
PC,QU2,LT,2007-01-01,3
PC,QU2,LT,2008-01-01,2
PC,QU2,LT,2009-01-01,3
PC,QU2,LT,2010-01-01,6
PC,QU2,LT,2011-01-01,11
PC,QU2,LT,2012-01-01,8
PC,QU2,LT,2013-01-01,
PC,QU2,LT,2014-01-01,7
PC,QU2,LT,2015-01-01,
PC,QU2,LT,2016-01-01,5
PC,QU2,LT,2017-01-01,4
PC,QU2,LU,2006-01-01,2
PC,QU2,LU,2007-01-01,1
PC,QU2,LU,2008-01-01,1
