currency,indic_il,hhtyp,geo\time,date,value
PPS,LI_C_MD60,A2_2CH_LT14,AT,2009-01-01,24534 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2010-01-01,24590 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2011-01-01,25735 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2012-01-01,25958 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2013-01-01,26339
PPS,LI_C_MD60,A2_2CH_LT14,AT,2014-01-01,27294 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2015-01-01,27696
PPS,LI_C_MD60,A2_2CH_LT14,AT,2016-01-01,29122 
PPS,LI_C_MD60,A2_2CH_LT14,AT,2017-01-01,29401 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2006-01-01,20385 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2007-01-01,20552 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2008-01-01,21096 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2009-01-01,22053 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2010-01-01,21838 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2011-01-01,22880 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2012-01-01,23180 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2013-01-01,24649
PPS,LI_C_MD60,A2_2CH_LT14,BE,2014-01-01,24684 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2015-01-01,25101
PPS,LI_C_MD60,A2_2CH_LT14,BE,2016-01-01,26854 
PPS,LI_C_MD60,A2_2CH_LT14,BE,2017-01-01,26317 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2006-01-01,4032 b
PPS,LI_C_MD60,A2_2CH_LT14,BG,2007-01-01,4157 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2008-01-01,6004 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2009-01-01,7215 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2010-01-01,7415 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2011-01-01,7347 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2012-01-01,7179 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2013-01-01,7434
PPS,LI_C_MD60,A2_2CH_LT14,BG,2014-01-01,8510 
PPS,LI_C_MD60,A2_2CH_LT14,BG,2015-01-01,8671
PPS,LI_C_MD60,A2_2CH_LT14,BG,2016-01-01,8501 b
PPS,LI_C_MD60,A2_2CH_LT14,BG,2017-01-01,9472 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2006-01-01,: 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2007-01-01,25908 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2008-01-01,27195 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2009-01-01,28391 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2010-01-01,28072 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2011-01-01,28887 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2012-01-01,30421 
PPS,LI_C_MD60,A2_2CH_LT14,CH,2013-01-01,32421
PPS,LI_C_MD60,A2_2CH_LT14,CH,2014-01-01,32438 b
