exch_rt,unit,geotime,date,value
REER_IC42_CPI,I10,RO,2018-01-01,98.3
REER_IC42_CPI,I10,RO,2018-02-01,98.32
REER_IC42_CPI,I10,RO,2018-03-01,98.11
REER_IC42_CPI,I10,RO,2018-04-01,98.59
REER_IC42_CPI,I10,RO,2018-05-01,98.92
REER_IC42_CPI,I10,RO,2018-06-01,98.33
REER_IC42_CPI,I10,RO,2018-07-01,98.73
REER_IC42_CPI,I10,RO,2018-08-01,99.75
REER_IC42_CPI,I10,SE,2017-09-01,97.75
REER_IC42_CPI,I10,SE,2017-10-01,96.61
REER_IC42_CPI,I10,SE,2017-11-01,94.64
REER_IC42_CPI,I10,SE,2017-12-01,94.35
REER_IC42_CPI,I10,SE,2018-01-01,95.11
REER_IC42_CPI,I10,SE,2018-02-01,94.51
REER_IC42_CPI,I10,SE,2018-03-01,92.39
REER_IC42_CPI,I10,SE,2018-04-01,90.73
REER_IC42_CPI,I10,SE,2018-05-01,90.26
REER_IC42_CPI,I10,SE,2018-06-01,90.72
REER_IC42_CPI,I10,SE,2018-07-01,91.33
REER_IC42_CPI,I10,SE,2018-08-01,89.94
REER_IC42_CPI,I10,SI,2017-09-01,99.67
REER_IC42_CPI,I10,SI,2017-10-01,99.71
REER_IC42_CPI,I10,SI,2017-11-01,100.08
REER_IC42_CPI,I10,SI,2017-12-01,99.93
REER_IC42_CPI,I10,SI,2018-01-01,99.77
REER_IC42_CPI,I10,SI,2018-02-01,100.36
REER_IC42_CPI,I10,SI,2018-03-01,100.35
REER_IC42_CPI,I10,SI,2018-04-01,100.86
REER_IC42_CPI,I10,SI,2018-05-01,101.25
REER_IC42_CPI,I10,SI,2018-06-01,101.05
REER_IC42_CPI,I10,SI,2018-07-01,100.61
REER_IC42_CPI,I10,SI,2018-08-01,101.16
REER_IC42_CPI,I10,SK,2017-09-01,101.37
REER_IC42_CPI,I10,SK,2017-10-01,101.45
REER_IC42_CPI,I10,SK,2017-11-01,101.72
REER_IC42_CPI,I10,SK,2017-12-01,101.44
REER_IC42_CPI,I10,SK,2018-01-01,102.81
REER_IC42_CPI,I10,SK,2018-02-01,102.81
REER_IC42_CPI,I10,SK,2018-03-01,102.74
REER_IC42_CPI,I10,SK,2018-04-01,103.23
REER_IC42_CPI,I10,SK,2018-05-01,102.71
REER_IC42_CPI,I10,SK,2018-06-01,102.7
REER_IC42_CPI,I10,SK,2018-07-01,102.87
REER_IC42_CPI,I10,SK,2018-08-01,103.38
REER_IC42_CPI,I10,TR,2017-09-01,76.24
REER_IC42_CPI,I10,TR,2017-10-01,74.17
REER_IC42_CPI,I10,TR,2017-11-01,71.18
REER_IC42_CPI,I10,TR,2017-12-01,71.97
REER_IC42_CPI,I10,TR,2018-01-01,72.44
REER_IC42_CPI,I10,TR,2018-02-01,71.8
REER_IC42_CPI,I10,TR,2018-03-01,70.29
REER_IC42_CPI,I10,TR,2018-04-01,68.8
REER_IC42_CPI,I10,TR,2018-05-01,65.89
REER_IC42_CPI,I10,TR,2018-06-01,65.22
REER_IC42_CPI,I10,TR,2018-07-01,64.0
REER_IC42_CPI,I10,TR,2018-08-01,53.28
REER_IC42_CPI,I10,UK,2017-09-01,99.82
REER_IC42_CPI,I10,UK,2017-10-01,100.03
REER_IC42_CPI,I10,UK,2017-11-01,100.81
REER_IC42_CPI,I10,UK,2017-12-01,101.89
REER_IC42_CPI,I10,UK,2018-01-01,102.26
REER_IC42_CPI,I10,UK,2018-02-01,102.53
REER_IC42_CPI,I10,UK,2018-03-01,102.6
REER_IC42_CPI,I10,UK,2018-04-01,104.05
REER_IC42_CPI,I10,UK,2018-05-01,102.26
REER_IC42_CPI,I10,UK,2018-06-01,101.59
REER_IC42_CPI,I10,UK,2018-07-01,101.16
REER_IC42_CPI,I10,UK,2018-08-01,100.81
REER_IC42_CPI,I10,US,2017-09-01,114.84
REER_IC42_CPI,I10,US,2017-10-01,116.84
REER_IC42_CPI,I10,US,2017-11-01,117.05
REER_IC42_CPI,I10,US,2017-12-01,116.56
REER_IC42_CPI,I10,US,2018-01-01,114.42
REER_IC42_CPI,I10,US,2018-02-01,113.53
REER_IC42_CPI,I10,US,2018-03-01,114.17
REER_IC42_CPI,I10,US,2018-04-01,114.46
REER_IC42_CPI,I10,US,2018-05-01,118.28
REER_IC42_CPI,I10,US,2018-06-01,120.2
REER_IC42_CPI,I10,US,2018-07-01,119.75
REER_IC42_CPI,I10,US,2018-08-01,120.4
