n_item,sex,age,unit,geotime,date,value
GE4,T,TOTAL,THS_PER,EU27,2011-01-01,43357
GE4,T,TOTAL,THS_PER,EU27,2012-01-01,48820
GE4,T,TOTAL,THS_PER,EU27,2013-01-01,47453
GE4,T,TOTAL,THS_PER,EU27,2014-01-01,43874
GE4,T,TOTAL,THS_PER,EU27,2015-01-01,39786
GE4,T,TOTAL,THS_PER,EU27,2016-01-01,37282
GE4,T,TOTAL,THS_PER,EU27,2017-01-01,34542
GE4,T,TOTAL,THS_PER,EU28,2003-01-01,
GE4,T,TOTAL,THS_PER,EU28,2004-01-01,
GE4,T,TOTAL,THS_PER,EU28,2005-01-01,
GE4,T,TOTAL,THS_PER,EU28,2006-01-01,
GE4,T,TOTAL,THS_PER,EU28,2007-01-01,
GE4,T,TOTAL,THS_PER,EU28,2008-01-01,
GE4,T,TOTAL,THS_PER,EU28,2009-01-01,
GE4,T,TOTAL,THS_PER,EU28,2010-01-01,41682
GE4,T,TOTAL,THS_PER,EU28,2011-01-01,44003
GE4,T,TOTAL,THS_PER,EU28,2012-01-01,49496
GE4,T,TOTAL,THS_PER,EU28,2013-01-01,48076
GE4,T,TOTAL,THS_PER,EU28,2014-01-01,44465
GE4,T,TOTAL,THS_PER,EU28,2015-01-01,40361
GE4,T,TOTAL,THS_PER,EU28,2016-01-01,37800
GE4,T,TOTAL,THS_PER,EU28,2017-01-01,34828
