unit,age,sex,geotime,date,value
PC,Y_LT18,T,PL,2010-01-01,30
PC,Y_LT18,T,PL,2011-01-01,29
PC,Y_LT18,T,PL,2012-01-01,29
PC,Y_LT18,T,PL,2013-01-01,29
PC,Y_LT18,T,PL,2014-01-01,28
PC,Y_LT18,T,PL,2015-01-01,
PC,Y_LT18,T,PL,2016-01-01,24
PC,Y_LT18,T,PL,2017-01-01,17
PC,Y_LT18,T,PT,2006-01-01,25
PC,Y_LT18,T,PT,2007-01-01,26
PC,Y_LT18,T,PT,2008-01-01,29
PC,Y_LT18,T,PT,2009-01-01,28
PC,Y_LT18,T,PT,2010-01-01,28
PC,Y_LT18,T,PT,2011-01-01,28
PC,Y_LT18,T,PT,2012-01-01,27
PC,Y_LT18,T,PT,2013-01-01,31
PC,Y_LT18,T,PT,2014-01-01,31
PC,Y_LT18,T,PT,2015-01-01,
PC,Y_LT18,T,PT,2016-01-01,27
PC,Y_LT18,T,PT,2017-01-01,24
PC,Y_LT18,T,RO,2006-01-01,
PC,Y_LT18,T,RO,2007-01-01,51
PC,Y_LT18,T,RO,2008-01-01,50
PC,Y_LT18,T,RO,2009-01-01,50
PC,Y_LT18,T,RO,2010-01-01,48
PC,Y_LT18,T,RO,2011-01-01,49
PC,Y_LT18,T,RO,2012-01-01,52
PC,Y_LT18,T,RO,2013-01-01,51
PC,Y_LT18,T,RO,2014-01-01,50
PC,Y_LT18,T,RO,2015-01-01,
PC,Y_LT18,T,RO,2016-01-01,49
PC,Y_LT18,T,RO,2017-01-01,41
PC,Y_LT18,T,RS,2006-01-01,
PC,Y_LT18,T,RS,2007-01-01,
PC,Y_LT18,T,RS,2008-01-01,
PC,Y_LT18,T,RS,2009-01-01,
PC,Y_LT18,T,RS,2010-01-01,
PC,Y_LT18,T,RS,2011-01-01,
PC,Y_LT18,T,RS,2012-01-01,
PC,Y_LT18,T,RS,2013-01-01,43
PC,Y_LT18,T,RS,2014-01-01,43
PC,Y_LT18,T,RS,2015-01-01,
PC,Y_LT18,T,RS,2016-01-01,40
PC,Y_LT18,T,RS,2017-01-01,
PC,Y_LT18,T,SE,2006-01-01,18
PC,Y_LT18,T,SE,2007-01-01,14
PC,Y_LT18,T,SE,2008-01-01,17
PC,Y_LT18,T,SE,2009-01-01,18
PC,Y_LT18,T,SE,2010-01-01,19
PC,Y_LT18,T,SE,2011-01-01,20
PC,Y_LT18,T,SE,2012-01-01,19
PC,Y_LT18,T,SE,2013-01-01,20
PC,Y_LT18,T,SE,2014-01-01,20
PC,Y_LT18,T,SE,2015-01-01,
PC,Y_LT18,T,SE,2016-01-01,19
PC,Y_LT18,T,SE,2017-01-01,19
PC,Y_LT18,T,SI,2006-01-01,14
PC,Y_LT18,T,SI,2007-01-01,14
PC,Y_LT18,T,SI,2008-01-01,15
PC,Y_LT18,T,SI,2009-01-01,15
PC,Y_LT18,T,SI,2010-01-01,15
PC,Y_LT18,T,SI,2011-01-01,17
PC,Y_LT18,T,SI,2012-01-01,16
PC,Y_LT18,T,SI,2013-01-01,17
PC,Y_LT18,T,SI,2014-01-01,17
PC,Y_LT18,T,SI,2015-01-01,
PC,Y_LT18,T,SI,2016-01-01,14
PC,Y_LT18,T,SI,2017-01-01,15
PC,Y_LT18,T,SK,2006-01-01,30
PC,Y_LT18,T,SK,2007-01-01,25
PC,Y_LT18,T,SK,2008-01-01,24
PC,Y_LT18,T,SK,2009-01-01,23
PC,Y_LT18,T,SK,2010-01-01,25
PC,Y_LT18,T,SK,2011-01-01,26
PC,Y_LT18,T,SK,2012-01-01,26
PC,Y_LT18,T,SK,2013-01-01,25
PC,Y_LT18,T,SK,2014-01-01,23
PC,Y_LT18,T,SK,2015-01-01,
PC,Y_LT18,T,SK,2016-01-01,24
PC,Y_LT18,T,SK,2017-01-01,22
PC,Y_LT18,T,TR,2006-01-01,71
PC,Y_LT18,T,TR,2007-01-01,69
PC,Y_LT18,T,TR,2008-01-01,69
PC,Y_LT18,T,TR,2009-01-01,69
PC,Y_LT18,T,TR,2010-01-01,71
PC,Y_LT18,T,TR,2011-01-01,69
PC,Y_LT18,T,TR,2012-01-01,67
PC,Y_LT18,T,TR,2013-01-01,57
PC,Y_LT18,T,TR,2014-01-01,48
PC,Y_LT18,T,TR,2015-01-01,
PC,Y_LT18,T,TR,2016-01-01,
PC,Y_LT18,T,TR,2017-01-01,
PC,Y_LT18,T,UK,2006-01-01,30
PC,Y_LT18,T,UK,2007-01-01,27
PC,Y_LT18,T,UK,2008-01-01,29
PC,Y_LT18,T,UK,2009-01-01,27
PC,Y_LT18,T,UK,2010-01-01,29
PC,Y_LT18,T,UK,2011-01-01,26
PC,Y_LT18,T,UK,2012-01-01,31
PC,Y_LT18,T,UK,2013-01-01,32
PC,Y_LT18,T,UK,2014-01-01,31
PC,Y_LT18,T,UK,2015-01-01,
PC,Y_LT18,T,UK,2016-01-01,27
PC,Y_LT18,T,UK,2017-01-01,
