age,unit,sex,indic_em,geotime,date,value
Y15-24,PC_POP,T,EMP_LFS,MT,2012-01-01,44
Y15-24,PC_POP,T,EMP_LFS,MT,2013-01-01,46
Y15-24,PC_POP,T,EMP_LFS,MT,2014-01-01,46
Y15-24,PC_POP,T,EMP_LFS,MT,2015-01-01,45
Y15-24,PC_POP,T,EMP_LFS,MT,2016-01-01,46
Y15-24,PC_POP,T,EMP_LFS,MT,2017-01-01,47
Y15-24,PC_POP,T,EMP_LFS,NL,2005-01-01,65
Y15-24,PC_POP,T,EMP_LFS,NL,2006-01-01,66
Y15-24,PC_POP,T,EMP_LFS,NL,2007-01-01,68
Y15-24,PC_POP,T,EMP_LFS,NL,2008-01-01,69
Y15-24,PC_POP,T,EMP_LFS,NL,2009-01-01,68
Y15-24,PC_POP,T,EMP_LFS,NL,2010-01-01,63
Y15-24,PC_POP,T,EMP_LFS,NL,2011-01-01,61
Y15-24,PC_POP,T,EMP_LFS,NL,2012-01-01,61
Y15-24,PC_POP,T,EMP_LFS,NL,2013-01-01,60
Y15-24,PC_POP,T,EMP_LFS,NL,2014-01-01,58
Y15-24,PC_POP,T,EMP_LFS,NL,2015-01-01,60
Y15-24,PC_POP,T,EMP_LFS,NL,2016-01-01,60
Y15-24,PC_POP,T,EMP_LFS,NL,2017-01-01,62
Y15-24,PC_POP,T,EMP_LFS,NO,2005-01-01,53
Y15-24,PC_POP,T,EMP_LFS,NO,2006-01-01,52
Y15-24,PC_POP,T,EMP_LFS,NO,2007-01-01,54
Y15-24,PC_POP,T,EMP_LFS,NO,2008-01-01,57
Y15-24,PC_POP,T,EMP_LFS,NO,2009-01-01,52
Y15-24,PC_POP,T,EMP_LFS,NO,2010-01-01,51
Y15-24,PC_POP,T,EMP_LFS,NO,2011-01-01,50
Y15-24,PC_POP,T,EMP_LFS,NO,2012-01-01,52
Y15-24,PC_POP,T,EMP_LFS,NO,2013-01-01,51
Y15-24,PC_POP,T,EMP_LFS,NO,2014-01-01,50
Y15-24,PC_POP,T,EMP_LFS,NO,2015-01-01,50
Y15-24,PC_POP,T,EMP_LFS,NO,2016-01-01,48
Y15-24,PC_POP,T,EMP_LFS,NO,2017-01-01,48
Y15-24,PC_POP,T,EMP_LFS,PL,2005-01-01,22
Y15-24,PC_POP,T,EMP_LFS,PL,2006-01-01,24
Y15-24,PC_POP,T,EMP_LFS,PL,2007-01-01,25
Y15-24,PC_POP,T,EMP_LFS,PL,2008-01-01,27
