unit,nace_r2,na_item,geo\time,date,value
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2018-04-01,5.7 
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2015-07-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2015-10-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2016-01-01,0.5 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2016-04-01,0.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2016-07-01,-0.5 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2016-10-01,1.6 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2017-01-01,0.5 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2017-04-01,0.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2017-07-01,0.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2017-10-01,-1.5 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2018-01-01,-1.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,NL,2018-04-01,-1.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2015-07-01,-5.6 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2015-10-01,4.5 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2016-01-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2016-04-01,2.9 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2016-07-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2016-10-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2017-01-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2017-04-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2017-07-01,2.8 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2017-10-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2018-01-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,NO,2018-04-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2015-07-01,-0.7 
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2015-10-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2016-01-01,-4.6 
