currency,bop_item,sector10,sectpart,partner,stk_flow,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2000-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2001-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2002-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2003-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2004-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2005-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2006-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2007-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2016-01-01,71926
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CY,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,1995-01-01,402642
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,1996-01-01,526965
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,1997-01-01,649395
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,1998-01-01,609688
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,1999-01-01,661809
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2000-01-01,651959
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2001-01-01,614854
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2002-01-01,587857
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2003-01-01,659916
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2004-01-01,686863
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2005-01-01,753102
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2006-01-01,782699
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2007-01-01,905683
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2016-01-01,1441190
