wstatus,indic_il,sex,age,geotime,date,value
UNE,LI_R_MD60,T,Y_GE18,FR,2008-01-01,39
UNE,LI_R_MD60,T,Y_GE18,FR,2009-01-01,37
UNE,LI_R_MD60,T,Y_GE18,FR,2010-01-01,33
UNE,LI_R_MD60,T,Y_GE18,FR,2011-01-01,36
UNE,LI_R_MD60,T,Y_GE18,FR,2012-01-01,36
UNE,LI_R_MD60,T,Y_GE18,FR,2013-01-01,35
UNE,LI_R_MD60,T,Y_GE18,FR,2014-01-01,31
UNE,LI_R_MD60,T,Y_GE18,FR,2015-01-01,37
UNE,LI_R_MD60,T,Y_GE18,FR,2016-01-01,38
UNE,LI_R_MD60,T,Y_GE18,FR,2017-01-01,38
UNE,LI_R_MD60,T,Y_GE18,HR,2005-01-01,
UNE,LI_R_MD60,T,Y_GE18,HR,2006-01-01,
UNE,LI_R_MD60,T,Y_GE18,HR,2007-01-01,
UNE,LI_R_MD60,T,Y_GE18,HR,2008-01-01,
UNE,LI_R_MD60,T,Y_GE18,HR,2009-01-01,
UNE,LI_R_MD60,T,Y_GE18,HR,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,HR,2011-01-01,42
UNE,LI_R_MD60,T,Y_GE18,HR,2012-01-01,43
UNE,LI_R_MD60,T,Y_GE18,HR,2013-01-01,43
UNE,LI_R_MD60,T,Y_GE18,HR,2014-01-01,43
UNE,LI_R_MD60,T,Y_GE18,HR,2015-01-01,42
UNE,LI_R_MD60,T,Y_GE18,HR,2016-01-01,43
UNE,LI_R_MD60,T,Y_GE18,HR,2017-01-01,
UNE,LI_R_MD60,T,Y_GE18,HU,2005-01-01,48
UNE,LI_R_MD60,T,Y_GE18,HU,2006-01-01,52
UNE,LI_R_MD60,T,Y_GE18,HU,2007-01-01,46
UNE,LI_R_MD60,T,Y_GE18,HU,2008-01-01,48
UNE,LI_R_MD60,T,Y_GE18,HU,2009-01-01,47
UNE,LI_R_MD60,T,Y_GE18,HU,2010-01-01,44
UNE,LI_R_MD60,T,Y_GE18,HU,2011-01-01,47
UNE,LI_R_MD60,T,Y_GE18,HU,2012-01-01,49
UNE,LI_R_MD60,T,Y_GE18,HU,2013-01-01,53
UNE,LI_R_MD60,T,Y_GE18,HU,2014-01-01,54
UNE,LI_R_MD60,T,Y_GE18,HU,2015-01-01,54
UNE,LI_R_MD60,T,Y_GE18,HU,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,HU,2017-01-01,51
UNE,LI_R_MD60,T,Y_GE18,IE,2005-01-01,47
UNE,LI_R_MD60,T,Y_GE18,IE,2006-01-01,49
UNE,LI_R_MD60,T,Y_GE18,IE,2007-01-01,42
UNE,LI_R_MD60,T,Y_GE18,IE,2008-01-01,28
UNE,LI_R_MD60,T,Y_GE18,IE,2009-01-01,28
UNE,LI_R_MD60,T,Y_GE18,IE,2010-01-01,27
UNE,LI_R_MD60,T,Y_GE18,IE,2011-01-01,31
UNE,LI_R_MD60,T,Y_GE18,IE,2012-01-01,35
UNE,LI_R_MD60,T,Y_GE18,IE,2013-01-01,37
UNE,LI_R_MD60,T,Y_GE18,IE,2014-01-01,37
UNE,LI_R_MD60,T,Y_GE18,IE,2015-01-01,40
UNE,LI_R_MD60,T,Y_GE18,IE,2016-01-01,40
UNE,LI_R_MD60,T,Y_GE18,IE,2017-01-01,
UNE,LI_R_MD60,T,Y_GE18,IS,2005-01-01,26
UNE,LI_R_MD60,T,Y_GE18,IS,2006-01-01,13
UNE,LI_R_MD60,T,Y_GE18,IS,2007-01-01,20
UNE,LI_R_MD60,T,Y_GE18,IS,2008-01-01,25
UNE,LI_R_MD60,T,Y_GE18,IS,2009-01-01,29
UNE,LI_R_MD60,T,Y_GE18,IS,2010-01-01,25
UNE,LI_R_MD60,T,Y_GE18,IS,2011-01-01,21
UNE,LI_R_MD60,T,Y_GE18,IS,2012-01-01,20
UNE,LI_R_MD60,T,Y_GE18,IS,2013-01-01,29
UNE,LI_R_MD60,T,Y_GE18,IS,2014-01-01,25
UNE,LI_R_MD60,T,Y_GE18,IS,2015-01-01,22
UNE,LI_R_MD60,T,Y_GE18,IS,2016-01-01,27
UNE,LI_R_MD60,T,Y_GE18,IS,2017-01-01,
UNE,LI_R_MD60,T,Y_GE18,IT,2005-01-01,44
UNE,LI_R_MD60,T,Y_GE18,IT,2006-01-01,44
UNE,LI_R_MD60,T,Y_GE18,IT,2007-01-01,44
UNE,LI_R_MD60,T,Y_GE18,IT,2008-01-01,44
UNE,LI_R_MD60,T,Y_GE18,IT,2009-01-01,41
UNE,LI_R_MD60,T,Y_GE18,IT,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,IT,2011-01-01,47
UNE,LI_R_MD60,T,Y_GE18,IT,2012-01-01,45
UNE,LI_R_MD60,T,Y_GE18,IT,2013-01-01,47
UNE,LI_R_MD60,T,Y_GE18,IT,2014-01-01,48
UNE,LI_R_MD60,T,Y_GE18,IT,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,IT,2016-01-01,45
UNE,LI_R_MD60,T,Y_GE18,IT,2017-01-01,42
UNE,LI_R_MD60,T,Y_GE18,LT,2005-01-01,62
UNE,LI_R_MD60,T,Y_GE18,LT,2006-01-01,61
UNE,LI_R_MD60,T,Y_GE18,LT,2007-01-01,57
UNE,LI_R_MD60,T,Y_GE18,LT,2008-01-01,52
UNE,LI_R_MD60,T,Y_GE18,LT,2009-01-01,53
UNE,LI_R_MD60,T,Y_GE18,LT,2010-01-01,56
UNE,LI_R_MD60,T,Y_GE18,LT,2011-01-01,53
UNE,LI_R_MD60,T,Y_GE18,LT,2012-01-01,54
UNE,LI_R_MD60,T,Y_GE18,LT,2013-01-01,61
UNE,LI_R_MD60,T,Y_GE18,LT,2014-01-01,62
UNE,LI_R_MD60,T,Y_GE18,LT,2015-01-01,62
UNE,LI_R_MD60,T,Y_GE18,LT,2016-01-01,60
UNE,LI_R_MD60,T,Y_GE18,LT,2017-01-01,61
UNE,LI_R_MD60,T,Y_GE18,LU,2005-01-01,48
UNE,LI_R_MD60,T,Y_GE18,LU,2006-01-01,49
UNE,LI_R_MD60,T,Y_GE18,LU,2007-01-01,46
UNE,LI_R_MD60,T,Y_GE18,LU,2008-01-01,52
UNE,LI_R_MD60,T,Y_GE18,LU,2009-01-01,45
UNE,LI_R_MD60,T,Y_GE18,LU,2010-01-01,43
UNE,LI_R_MD60,T,Y_GE18,LU,2011-01-01,42
UNE,LI_R_MD60,T,Y_GE18,LU,2012-01-01,51
UNE,LI_R_MD60,T,Y_GE18,LU,2013-01-01,53
UNE,LI_R_MD60,T,Y_GE18,LU,2014-01-01,50
UNE,LI_R_MD60,T,Y_GE18,LU,2015-01-01,42
UNE,LI_R_MD60,T,Y_GE18,LU,2016-01-01,44
UNE,LI_R_MD60,T,Y_GE18,LU,2017-01-01,54
UNE,LI_R_MD60,T,Y_GE18,LV,2005-01-01,58
UNE,LI_R_MD60,T,Y_GE18,LV,2006-01-01,63
UNE,LI_R_MD60,T,Y_GE18,LV,2007-01-01,55
UNE,LI_R_MD60,T,Y_GE18,LV,2008-01-01,50
UNE,LI_R_MD60,T,Y_GE18,LV,2009-01-01,57
UNE,LI_R_MD60,T,Y_GE18,LV,2010-01-01,47
UNE,LI_R_MD60,T,Y_GE18,LV,2011-01-01,50
UNE,LI_R_MD60,T,Y_GE18,LV,2012-01-01,51
UNE,LI_R_MD60,T,Y_GE18,LV,2013-01-01,55
UNE,LI_R_MD60,T,Y_GE18,LV,2014-01-01,53
UNE,LI_R_MD60,T,Y_GE18,LV,2015-01-01,55
UNE,LI_R_MD60,T,Y_GE18,LV,2016-01-01,55
UNE,LI_R_MD60,T,Y_GE18,LV,2017-01-01,56
UNE,LI_R_MD60,T,Y_GE18,MK,2005-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2006-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2007-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2008-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2009-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2010-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2011-01-01,
UNE,LI_R_MD60,T,Y_GE18,MK,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,MK,2013-01-01,43
UNE,LI_R_MD60,T,Y_GE18,MK,2014-01-01,40
UNE,LI_R_MD60,T,Y_GE18,MK,2015-01-01,39
UNE,LI_R_MD60,T,Y_GE18,MK,2016-01-01,41
UNE,LI_R_MD60,T,Y_GE18,MK,2017-01-01,
UNE,LI_R_MD60,T,Y_GE18,MT,2005-01-01,49
UNE,LI_R_MD60,T,Y_GE18,MT,2006-01-01,42
UNE,LI_R_MD60,T,Y_GE18,MT,2007-01-01,44
UNE,LI_R_MD60,T,Y_GE18,MT,2008-01-01,30
UNE,LI_R_MD60,T,Y_GE18,MT,2009-01-01,32
UNE,LI_R_MD60,T,Y_GE18,MT,2010-01-01,42
UNE,LI_R_MD60,T,Y_GE18,MT,2011-01-01,43
UNE,LI_R_MD60,T,Y_GE18,MT,2012-01-01,48
UNE,LI_R_MD60,T,Y_GE18,MT,2013-01-01,49
UNE,LI_R_MD60,T,Y_GE18,MT,2014-01-01,48
UNE,LI_R_MD60,T,Y_GE18,MT,2015-01-01,55
UNE,LI_R_MD60,T,Y_GE18,MT,2016-01-01,45
UNE,LI_R_MD60,T,Y_GE18,MT,2017-01-01,57
UNE,LI_R_MD60,T,Y_GE18,NL,2005-01-01,27
UNE,LI_R_MD60,T,Y_GE18,NL,2006-01-01,27
UNE,LI_R_MD60,T,Y_GE18,NL,2007-01-01,26
UNE,LI_R_MD60,T,Y_GE18,NL,2008-01-01,36
UNE,LI_R_MD60,T,Y_GE18,NL,2009-01-01,41
UNE,LI_R_MD60,T,Y_GE18,NL,2010-01-01,31
UNE,LI_R_MD60,T,Y_GE18,NL,2011-01-01,33
UNE,LI_R_MD60,T,Y_GE18,NL,2012-01-01,33
UNE,LI_R_MD60,T,Y_GE18,NL,2013-01-01,34
UNE,LI_R_MD60,T,Y_GE18,NL,2014-01-01,36
UNE,LI_R_MD60,T,Y_GE18,NL,2015-01-01,35
UNE,LI_R_MD60,T,Y_GE18,NL,2016-01-01,44
UNE,LI_R_MD60,T,Y_GE18,NL,2017-01-01,45
UNE,LI_R_MD60,T,Y_GE18,NO,2005-01-01,27
UNE,LI_R_MD60,T,Y_GE18,NO,2006-01-01,34
UNE,LI_R_MD60,T,Y_GE18,NO,2007-01-01,43
UNE,LI_R_MD60,T,Y_GE18,NO,2008-01-01,40
UNE,LI_R_MD60,T,Y_GE18,NO,2009-01-01,38
UNE,LI_R_MD60,T,Y_GE18,NO,2010-01-01,30
UNE,LI_R_MD60,T,Y_GE18,NO,2011-01-01,32
UNE,LI_R_MD60,T,Y_GE18,NO,2012-01-01,40
UNE,LI_R_MD60,T,Y_GE18,NO,2013-01-01,39
UNE,LI_R_MD60,T,Y_GE18,NO,2014-01-01,39
UNE,LI_R_MD60,T,Y_GE18,NO,2015-01-01,43
UNE,LI_R_MD60,T,Y_GE18,NO,2016-01-01,38
UNE,LI_R_MD60,T,Y_GE18,NO,2017-01-01,45
UNE,LI_R_MD60,T,Y_GE18,PL,2005-01-01,45
UNE,LI_R_MD60,T,Y_GE18,PL,2006-01-01,46
UNE,LI_R_MD60,T,Y_GE18,PL,2007-01-01,43
UNE,LI_R_MD60,T,Y_GE18,PL,2008-01-01,38
