unit,tax,nace_r2,geotime,date,value
PC,NRG,G,CH,2008-01-01,4.0
PC,NRG,G,CH,2009-01-01,4.1
PC,NRG,G,CH,2010-01-01,4.2
PC,NRG,G,CH,2011-01-01,4.2
PC,NRG,G,CH,2012-01-01,4.0
PC,NRG,G,CH,2013-01-01,3.8
PC,NRG,G,CH,2014-01-01,3.8
PC,NRG,G,CH,2015-01-01,4.0
PC,NRG,G,CH,2016-01-01,
PC,NRG,G,CY,1995-01-01,
PC,NRG,G,CY,1996-01-01,
PC,NRG,G,CY,1997-01-01,
PC,NRG,G,CY,1998-01-01,
PC,NRG,G,CY,1999-01-01,
PC,NRG,G,CY,2000-01-01,
PC,NRG,G,CY,2001-01-01,
PC,NRG,G,CY,2002-01-01,
PC,NRG,G,CY,2003-01-01,
PC,NRG,G,CY,2004-01-01,
PC,NRG,G,CY,2005-01-01,
PC,NRG,G,CY,2006-01-01,
PC,NRG,G,CY,2007-01-01,
PC,NRG,G,CY,2008-01-01,7.4
PC,NRG,G,CY,2009-01-01,7.5
PC,NRG,G,CY,2010-01-01,7.0
PC,NRG,G,CY,2011-01-01,6.6
PC,NRG,G,CY,2012-01-01,6.7
PC,NRG,G,CY,2013-01-01,6.2
PC,NRG,G,CY,2014-01-01,5.9
PC,NRG,G,CY,2015-01-01,6.2
PC,NRG,G,CY,2016-01-01,
PC,NRG,G,CZ,1995-01-01,
PC,NRG,G,CZ,1996-01-01,
PC,NRG,G,CZ,1997-01-01,
PC,NRG,G,CZ,1998-01-01,
PC,NRG,G,CZ,1999-01-01,
PC,NRG,G,CZ,2000-01-01,
PC,NRG,G,CZ,2001-01-01,
PC,NRG,G,CZ,2002-01-01,
PC,NRG,G,CZ,2003-01-01,
PC,NRG,G,CZ,2004-01-01,
PC,NRG,G,CZ,2005-01-01,10.7
PC,NRG,G,CZ,2006-01-01,11.8
PC,NRG,G,CZ,2007-01-01,13.1
PC,NRG,G,CZ,2008-01-01,13.9
PC,NRG,G,CZ,2009-01-01,14.8
PC,NRG,G,CZ,2010-01-01,15.0
PC,NRG,G,CZ,2011-01-01,13.7
PC,NRG,G,CZ,2012-01-01,13.0
PC,NRG,G,CZ,2013-01-01,13.9
PC,NRG,G,CZ,2014-01-01,10.3
PC,NRG,G,CZ,2015-01-01,9.1
PC,NRG,G,CZ,2016-01-01,
PC,NRG,G,DE,1995-01-01,
PC,NRG,G,DE,1996-01-01,
PC,NRG,G,DE,1997-01-01,
PC,NRG,G,DE,1998-01-01,
PC,NRG,G,DE,1999-01-01,
PC,NRG,G,DE,2000-01-01,
PC,NRG,G,DE,2001-01-01,
PC,NRG,G,DE,2002-01-01,
PC,NRG,G,DE,2003-01-01,
PC,NRG,G,DE,2004-01-01,
PC,NRG,G,DE,2005-01-01,
PC,NRG,G,DE,2006-01-01,
PC,NRG,G,DE,2007-01-01,
PC,NRG,G,DE,2008-01-01,5.3
PC,NRG,G,DE,2009-01-01,5.2
PC,NRG,G,DE,2010-01-01,7.6
PC,NRG,G,DE,2011-01-01,5.7
PC,NRG,G,DE,2012-01-01,5.6
PC,NRG,G,DE,2013-01-01,5.4
PC,NRG,G,DE,2014-01-01,5.5
PC,NRG,G,DE,2015-01-01,5.5
PC,NRG,G,DE,2016-01-01,
PC,NRG,G,DK,1995-01-01,4.7
PC,NRG,G,DK,1996-01-01,4.8
PC,NRG,G,DK,1997-01-01,5.0
PC,NRG,G,DK,1998-01-01,5.8
PC,NRG,G,DK,1999-01-01,5.7
PC,NRG,G,DK,2000-01-01,5.8
PC,NRG,G,DK,2001-01-01,5.5
PC,NRG,G,DK,2002-01-01,5.6
PC,NRG,G,DK,2003-01-01,5.5
PC,NRG,G,DK,2004-01-01,5.7
PC,NRG,G,DK,2005-01-01,5.6
PC,NRG,G,DK,2006-01-01,5.2
PC,NRG,G,DK,2007-01-01,5.8
PC,NRG,G,DK,2008-01-01,5.1
PC,NRG,G,DK,2009-01-01,5.2
PC,NRG,G,DK,2010-01-01,5.0
PC,NRG,G,DK,2011-01-01,5.5
PC,NRG,G,DK,2012-01-01,5.7
PC,NRG,G,DK,2013-01-01,5.6
PC,NRG,G,DK,2014-01-01,5.7
PC,NRG,G,DK,2015-01-01,5.5
PC,NRG,G,DK,2016-01-01,5.5
PC,NRG,G,EA19,1995-01-01,
PC,NRG,G,EA19,1996-01-01,
PC,NRG,G,EA19,1997-01-01,
PC,NRG,G,EA19,1998-01-01,
PC,NRG,G,EA19,1999-01-01,
PC,NRG,G,EA19,2000-01-01,
PC,NRG,G,EA19,2001-01-01,
PC,NRG,G,EA19,2002-01-01,
PC,NRG,G,EA19,2003-01-01,
PC,NRG,G,EA19,2004-01-01,
PC,NRG,G,EA19,2005-01-01,
PC,NRG,G,EA19,2006-01-01,
PC,NRG,G,EA19,2007-01-01,
PC,NRG,G,EA19,2008-01-01,5.3
PC,NRG,G,EA19,2009-01-01,5.2
PC,NRG,G,EA19,2010-01-01,5.7
PC,NRG,G,EA19,2011-01-01,5.2
PC,NRG,G,EA19,2012-01-01,5.2
PC,NRG,G,EA19,2013-01-01,5.1
PC,NRG,G,EA19,2014-01-01,5.1
PC,NRG,G,EA19,2015-01-01,5.1
PC,NRG,G,EA19,2016-01-01,
PC,NRG,G,EE,1995-01-01,
PC,NRG,G,EE,1996-01-01,
PC,NRG,G,EE,1997-01-01,
PC,NRG,G,EE,1998-01-01,
PC,NRG,G,EE,1999-01-01,
PC,NRG,G,EE,2000-01-01,
PC,NRG,G,EE,2001-01-01,
PC,NRG,G,EE,2002-01-01,
PC,NRG,G,EE,2003-01-01,
PC,NRG,G,EE,2004-01-01,
PC,NRG,G,EE,2005-01-01,
PC,NRG,G,EE,2006-01-01,
PC,NRG,G,EE,2007-01-01,
PC,NRG,G,EE,2008-01-01,5.0
PC,NRG,G,EE,2009-01-01,4.8
PC,NRG,G,EE,2010-01-01,4.6
PC,NRG,G,EE,2011-01-01,4.3
PC,NRG,G,EE,2012-01-01,4.3
PC,NRG,G,EE,2013-01-01,4.0
PC,NRG,G,EE,2014-01-01,3.4
PC,NRG,G,EE,2015-01-01,3.4
PC,NRG,G,EE,2016-01-01,
PC,NRG,G,EL,1995-01-01,
PC,NRG,G,EL,1996-01-01,
PC,NRG,G,EL,1997-01-01,
PC,NRG,G,EL,1998-01-01,
PC,NRG,G,EL,1999-01-01,
PC,NRG,G,EL,2000-01-01,
PC,NRG,G,EL,2001-01-01,
PC,NRG,G,EL,2002-01-01,
PC,NRG,G,EL,2003-01-01,
PC,NRG,G,EL,2004-01-01,
PC,NRG,G,EL,2005-01-01,
PC,NRG,G,EL,2006-01-01,
PC,NRG,G,EL,2007-01-01,
PC,NRG,G,EL,2008-01-01,6.2
PC,NRG,G,EL,2009-01-01,6.4
PC,NRG,G,EL,2010-01-01,6.2
PC,NRG,G,EL,2011-01-01,5.0
PC,NRG,G,EL,2012-01-01,4.4
PC,NRG,G,EL,2013-01-01,4.5
PC,NRG,G,EL,2014-01-01,4.5
PC,NRG,G,EL,2015-01-01,4.5
PC,NRG,G,EL,2016-01-01,
PC,NRG,G,ES,1995-01-01,
PC,NRG,G,ES,1996-01-01,
PC,NRG,G,ES,1997-01-01,
PC,NRG,G,ES,1998-01-01,
PC,NRG,G,ES,1999-01-01,
PC,NRG,G,ES,2000-01-01,
PC,NRG,G,ES,2001-01-01,
PC,NRG,G,ES,2002-01-01,
PC,NRG,G,ES,2003-01-01,
PC,NRG,G,ES,2004-01-01,
PC,NRG,G,ES,2005-01-01,
PC,NRG,G,ES,2006-01-01,
PC,NRG,G,ES,2007-01-01,
PC,NRG,G,ES,2008-01-01,4.4
PC,NRG,G,ES,2009-01-01,4.4
PC,NRG,G,ES,2010-01-01,4.3
PC,NRG,G,ES,2011-01-01,4.2
PC,NRG,G,ES,2012-01-01,4.4
PC,NRG,G,ES,2013-01-01,5.0
PC,NRG,G,ES,2014-01-01,4.9
PC,NRG,G,ES,2015-01-01,4.9
PC,NRG,G,ES,2016-01-01,
PC,NRG,G,EU28,1995-01-01,
PC,NRG,G,EU28,1996-01-01,
PC,NRG,G,EU28,1997-01-01,
PC,NRG,G,EU28,1998-01-01,
PC,NRG,G,EU28,1999-01-01,
PC,NRG,G,EU28,2000-01-01,
PC,NRG,G,EU28,2001-01-01,
PC,NRG,G,EU28,2002-01-01,
PC,NRG,G,EU28,2003-01-01,
PC,NRG,G,EU28,2004-01-01,
PC,NRG,G,EU28,2005-01-01,
PC,NRG,G,EU28,2006-01-01,
PC,NRG,G,EU28,2007-01-01,
PC,NRG,G,EU28,2008-01-01,5.8
PC,NRG,G,EU28,2009-01-01,5.7
PC,NRG,G,EU28,2010-01-01,6.0
PC,NRG,G,EU28,2011-01-01,5.7
PC,NRG,G,EU28,2012-01-01,5.8
PC,NRG,G,EU28,2013-01-01,5.7
PC,NRG,G,EU28,2014-01-01,5.7
PC,NRG,G,EU28,2015-01-01,5.8
PC,NRG,G,EU28,2016-01-01,
PC,NRG,G,FI,1995-01-01,
PC,NRG,G,FI,1996-01-01,
PC,NRG,G,FI,1997-01-01,
PC,NRG,G,FI,1998-01-01,
PC,NRG,G,FI,1999-01-01,
PC,NRG,G,FI,2000-01-01,
PC,NRG,G,FI,2001-01-01,
PC,NRG,G,FI,2002-01-01,
PC,NRG,G,FI,2003-01-01,
PC,NRG,G,FI,2004-01-01,
PC,NRG,G,FI,2005-01-01,
PC,NRG,G,FI,2006-01-01,
PC,NRG,G,FI,2007-01-01,
PC,NRG,G,FI,2008-01-01,2.5
PC,NRG,G,FI,2009-01-01,2.5
PC,NRG,G,FI,2010-01-01,2.4
PC,NRG,G,FI,2011-01-01,2.5
PC,NRG,G,FI,2012-01-01,3.0
PC,NRG,G,FI,2013-01-01,2.4
PC,NRG,G,FI,2014-01-01,2.7
PC,NRG,G,FI,2015-01-01,2.6
PC,NRG,G,FI,2016-01-01,
PC,NRG,G,FR,1995-01-01,
PC,NRG,G,FR,1996-01-01,
PC,NRG,G,FR,1997-01-01,
PC,NRG,G,FR,1998-01-01,
PC,NRG,G,FR,1999-01-01,
PC,NRG,G,FR,2000-01-01,
PC,NRG,G,FR,2001-01-01,
PC,NRG,G,FR,2002-01-01,
PC,NRG,G,FR,2003-01-01,
PC,NRG,G,FR,2004-01-01,
PC,NRG,G,FR,2005-01-01,
PC,NRG,G,FR,2006-01-01,
PC,NRG,G,FR,2007-01-01,
PC,NRG,G,FR,2008-01-01,5.1
PC,NRG,G,FR,2009-01-01,5.1
PC,NRG,G,FR,2010-01-01,4.7
PC,NRG,G,FR,2011-01-01,4.9
PC,NRG,G,FR,2012-01-01,5.1
PC,NRG,G,FR,2013-01-01,4.8
PC,NRG,G,FR,2014-01-01,4.7
PC,NRG,G,FR,2015-01-01,4.5
PC,NRG,G,FR,2016-01-01,4.1
PC,NRG,G,HR,1995-01-01,
PC,NRG,G,HR,1996-01-01,
PC,NRG,G,HR,1997-01-01,
PC,NRG,G,HR,1998-01-01,
PC,NRG,G,HR,1999-01-01,
PC,NRG,G,HR,2000-01-01,
PC,NRG,G,HR,2001-01-01,
PC,NRG,G,HR,2002-01-01,
PC,NRG,G,HR,2003-01-01,
PC,NRG,G,HR,2004-01-01,
PC,NRG,G,HR,2005-01-01,
PC,NRG,G,HR,2006-01-01,
PC,NRG,G,HR,2007-01-01,
PC,NRG,G,HR,2008-01-01,5.1
PC,NRG,G,HR,2009-01-01,4.5
PC,NRG,G,HR,2010-01-01,4.2
PC,NRG,G,HR,2011-01-01,4.4
PC,NRG,G,HR,2012-01-01,2.9
PC,NRG,G,HR,2013-01-01,2.2
PC,NRG,G,HR,2014-01-01,2.3
PC,NRG,G,HR,2015-01-01,0.9
PC,NRG,G,HR,2016-01-01,
PC,NRG,G,HU,1995-01-01,
PC,NRG,G,HU,1996-01-01,
PC,NRG,G,HU,1997-01-01,
PC,NRG,G,HU,1998-01-01,
PC,NRG,G,HU,1999-01-01,
PC,NRG,G,HU,2000-01-01,
PC,NRG,G,HU,2001-01-01,
PC,NRG,G,HU,2002-01-01,
PC,NRG,G,HU,2003-01-01,
PC,NRG,G,HU,2004-01-01,
PC,NRG,G,HU,2005-01-01,8.0
PC,NRG,G,HU,2006-01-01,7.9
PC,NRG,G,HU,2007-01-01,7.9
PC,NRG,G,HU,2008-01-01,7.8
PC,NRG,G,HU,2009-01-01,7.9
PC,NRG,G,HU,2010-01-01,7.9
PC,NRG,G,HU,2011-01-01,8.0
PC,NRG,G,HU,2012-01-01,8.3
PC,NRG,G,HU,2013-01-01,8.7
PC,NRG,G,HU,2014-01-01,9.6
PC,NRG,G,HU,2015-01-01,10.5
PC,NRG,G,HU,2016-01-01,
PC,NRG,G,IE,1995-01-01,23.5
PC,NRG,G,IE,1996-01-01,22.8
PC,NRG,G,IE,1997-01-01,20.8
PC,NRG,G,IE,1998-01-01,17.9
PC,NRG,G,IE,1999-01-01,14.7
PC,NRG,G,IE,2000-01-01,10.4
PC,NRG,G,IE,2001-01-01,9.7
PC,NRG,G,IE,2002-01-01,10.0
PC,NRG,G,IE,2003-01-01,10.1
