indic_bt,s_adj,unit,nace_r2,geotime,date,value
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2015-10-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2016-01-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2016-04-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2016-07-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2016-10-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2017-01-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2017-04-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2017-07-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2017-10-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2018-01-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,MT,2018-04-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2015-10-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2016-01-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2016-04-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2016-07-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2016-10-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2017-01-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2017-04-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2017-07-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2017-10-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2018-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,NL,2018-04-01,114
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2015-10-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2016-04-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2016-07-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2016-10-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2017-01-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2017-04-01,114
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2017-07-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2017-10-01,120
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2018-01-01,124
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PL,2018-04-01,128
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2015-10-01,98
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2016-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2016-07-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2016-10-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2017-01-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2017-04-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2017-07-01,110
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2017-10-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2018-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,PT,2018-04-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2015-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2015-10-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2016-01-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2016-04-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2016-07-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2016-10-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2017-01-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2017-04-01,118
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2017-07-01,122
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2017-10-01,125
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2018-01-01,126
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,RO,2018-04-01,131
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2015-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2015-10-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2016-04-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2016-07-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2016-10-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2017-01-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2017-04-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2017-07-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2017-10-01,114
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2018-01-01,117
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SE,2018-04-01,120
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2016-01-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2016-04-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2016-07-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2016-10-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2017-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2017-04-01,114
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2017-07-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2017-10-01,120
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2018-01-01,122
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SI,2018-04-01,127
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,SK,2015-07-01,101
