s_adj,age,sex,unit,geo\time,date,value
SA,Y_LT25,F,PC_ACT,MT,2018-04-01,4.8 
SA,Y_LT25,F,PC_ACT,MT,2018-05-01,4.0 
SA,Y_LT25,F,PC_ACT,MT,2018-06-01,5.3 
SA,Y_LT25,F,PC_ACT,MT,2018-07-01,7.0 
SA,Y_LT25,F,PC_ACT,MT,2018-08-01,7.3 
SA,Y_LT25,F,PC_ACT,MT,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,NL,2017-10-01,7.6 
SA,Y_LT25,F,PC_ACT,NL,2017-11-01,7.3 
SA,Y_LT25,F,PC_ACT,NL,2017-12-01,7.5 
SA,Y_LT25,F,PC_ACT,NL,2018-01-01,6.9 
SA,Y_LT25,F,PC_ACT,NL,2018-02-01,6.5 
SA,Y_LT25,F,PC_ACT,NL,2018-03-01,6.3 
SA,Y_LT25,F,PC_ACT,NL,2018-04-01,6.0 
SA,Y_LT25,F,PC_ACT,NL,2018-05-01,6.3 
SA,Y_LT25,F,PC_ACT,NL,2018-06-01,6.7 
SA,Y_LT25,F,PC_ACT,NL,2018-07-01,6.9 
SA,Y_LT25,F,PC_ACT,NL,2018-08-01,7.3 
SA,Y_LT25,F,PC_ACT,NL,2018-09-01,7.1 
SA,Y_LT25,F,PC_ACT,NO,2017-10-01,8.9 
SA,Y_LT25,F,PC_ACT,NO,2017-11-01,8.8 
SA,Y_LT25,F,PC_ACT,NO,2017-12-01,8.4 
SA,Y_LT25,F,PC_ACT,NO,2018-01-01,7.8 
SA,Y_LT25,F,PC_ACT,NO,2018-02-01,7.2 
SA,Y_LT25,F,PC_ACT,NO,2018-03-01,7.6 
SA,Y_LT25,F,PC_ACT,NO,2018-04-01,7.5 
SA,Y_LT25,F,PC_ACT,NO,2018-05-01,8.1 
SA,Y_LT25,F,PC_ACT,NO,2018-06-01,8.2 
SA,Y_LT25,F,PC_ACT,NO,2018-07-01,8.5 
SA,Y_LT25,F,PC_ACT,NO,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,NO,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,PL,2017-10-01,15.3 
SA,Y_LT25,F,PC_ACT,PL,2017-11-01,15.1 
SA,Y_LT25,F,PC_ACT,PL,2017-12-01,14.1 
SA,Y_LT25,F,PC_ACT,PL,2018-01-01,12.5 
SA,Y_LT25,F,PC_ACT,PL,2018-02-01,11.6 
SA,Y_LT25,F,PC_ACT,PL,2018-03-01,11.4 
SA,Y_LT25,F,PC_ACT,PL,2018-04-01,11.5 
SA,Y_LT25,F,PC_ACT,PL,2018-05-01,11.1 
SA,Y_LT25,F,PC_ACT,PL,2018-06-01,10.4 
SA,Y_LT25,F,PC_ACT,PL,2018-07-01,9.2 
SA,Y_LT25,F,PC_ACT,PL,2018-08-01,8.2 
SA,Y_LT25,F,PC_ACT,PL,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,PT,2017-10-01,27.2 
SA,Y_LT25,F,PC_ACT,PT,2017-11-01,24.9 
SA,Y_LT25,F,PC_ACT,PT,2017-12-01,22.7 
SA,Y_LT25,F,PC_ACT,PT,2018-01-01,21.9 
SA,Y_LT25,F,PC_ACT,PT,2018-02-01,19.3 
SA,Y_LT25,F,PC_ACT,PT,2018-03-01,21.3 
